vehicle_id,truck_number,sales_organization_id,vehicle_type,vehicle_class,capacity_cases,fuel_type,expected_mpg,model_year,active_flag
VEH00099,TRK-0099,SO0025,Box Truck,Medium Duty,1182,Diesel,10.05,2023,True
VEH00100,TRK-0100,SO0025,Tractor Trailer,Medium Duty,737,Diesel,7.12,2020,True
VEH00101,TRK-0101,SO0026,Straight Truck,Medium Duty,640,Diesel,7.9,2025,True
VEH00102,TRK-0102,SO0026,Straight Truck,Heavy Duty,1076,Diesel,8.18,2024,True
VEH00103,TRK-0103,SO0026,Box Truck,Heavy Duty,900,Diesel,9.91,2024,True
VEH00104,TRK-0104,SO0026,Straight Truck,Heavy Duty,934,Diesel,8.35,2025,True
VEH00105,TRK-0105,SO0027,Tractor Trailer,Heavy Duty,820,Diesel,10.23,2021,True
VEH00106,TRK-0106,SO0027,Box Truck,Heavy Duty,1087,Diesel,8.63,2022,True
VEH00107,TRK-0107,SO0027,Box Truck,Heavy Duty,1723,Diesel,8.63,2024,True
VEH00108,TRK-0108,SO0027,Straight Truck,Heavy Duty,618,Diesel,7.19,2024,True
VEH00109,TRK-0109,SO0028,Tractor Trailer,Heavy Duty,819,Diesel,7.27,2019,True
VEH00110,TRK-0110,SO0028,Tractor Trailer,Medium Duty,653,Diesel,6.19,2024,True
VEH00111,TRK-0111,SO0028,Straight Truck,Medium Duty,694,Diesel,9.2,2025,True
VEH00112,TRK-0112,SO0028,Box Truck,Heavy Duty,1528,Diesel,6.96,2025,True
VEH00113,TRK-0113,SO0029,Tractor Trailer,Medium Duty,1559,Diesel,8.04,2020,True
VEH00114,TRK-0114,SO0029,Straight Truck,Medium Duty,891,Diesel,9.09,2023,True
VEH00115,TRK-0115,SO0029,Box Truck,Heavy Duty,1515,Diesel,6.94,2021,True
VEH00116,TRK-0116,SO0029,Box Truck,Medium Duty,1529,Diesel,8.05,2026,True
VEH00117,TRK-0117,SO0030,Box Truck,Heavy Duty,1795,Diesel,7.05,2024,True
VEH00118,TRK-0118,SO0030,Tractor Trailer,Medium Duty,1655,Diesel,9.88,2024,True
VEH00119,TRK-0119,SO0030,Straight Truck,Heavy Duty,1620,Diesel,6.27,2024,True
VEH00120,TRK-0120,SO0030,Box Truck,Heavy Duty,1537,Diesel,7.35,2026,True
VEH00121,TRK-0121,SO0031,Box Truck,Medium Duty,794,Diesel,7.81,2021,True
VEH00122,TRK-0122,SO0031,Box Truck,Medium Duty,1549,Diesel,10.18,2025,True
VEH00123,TRK-0123,SO0031,Tractor Trailer,Medium Duty,1383,Diesel,10.34,2025,True
VEH00124,TRK-0124,SO0031,Straight Truck,Medium Duty,1619,Diesel,9.23,2023,True
VEH00125,TRK-0125,SO0032,Box Truck,Medium Duty,1269,Diesel,10.03,2025,True
VEH00126,TRK-0126,SO0032,Straight Truck,Heavy Duty,1649,Diesel,6.56,2021,True
VEH00127,TRK-0127,SO0032,Straight Truck,Medium Duty,1703,Diesel,10.18,2026,True
VEH00128,TRK-0128,SO0032,Tractor Trailer,Medium Duty,1335,Diesel,8.08,2025,True
VEH00129,TRK-0129,SO0033,Tractor Trailer,Heavy Duty,1036,Diesel,10.15,2025,True
VEH00130,TRK-0130,SO0033,Straight Truck,Heavy Duty,1007,Diesel,6.84,2019,True
VEH00131,TRK-0131,SO0033,Tractor Trailer,Medium Duty,758,Diesel,10.25,2025,True
VEH00132,TRK-0132,SO0033,Straight Truck,Medium Duty,1795,Diesel,8.74,2021,True
VEH00133,TRK-0133,SO0034,Box Truck,Heavy Duty,1238,Diesel,7.52,2025,True
VEH00134,TRK-0134,SO0034,Tractor Trailer,Medium Duty,998,Diesel,10.49,2019,True
VEH00135,TRK-0135,SO0034,Straight Truck,Medium Duty,1458,Diesel,6.81,2021,True
VEH00136,TRK-0136,SO0034,Tractor Trailer,Heavy Duty,795,Diesel,9.61,2026,True
VEH00137,TRK-0137,SO0035,Straight Truck,Heavy Duty,1491,Diesel,9.63,2023,True
VEH00138,TRK-0138,SO0035,Straight Truck,Heavy Duty,1523,Diesel,7.3,2024,True
VEH00139,TRK-0139,SO0035,Tractor Trailer,Medium Duty,1084,Diesel,9.09,2023,True
VEH00140,TRK-0140,SO0035,Box Truck,Heavy Duty,1384,Diesel,6.09,2024,True
VEH00141,TRK-0141,SO0036,Straight Truck,Medium Duty,1053,Diesel,10.48,2025,True
VEH00142,TRK-0142,SO0036,Straight Truck,Heavy Duty,798,Diesel,9.81,2022,True
VEH00143,TRK-0143,SO0036,Tractor Trailer,Medium Duty,942,Diesel,9.62,2024,True
VEH00144,TRK-0144,SO0036,Box Truck,Heavy Duty,672,Diesel,9.92,2021,True
VEH00145,TRK-0145,SO0037,Straight Truck,Heavy Duty,858,Diesel,10.21,2022,True
VEH00146,TRK-0146,SO0037,Tractor Trailer,Medium Duty,1038,Diesel,7.55,2019,True
VEH00147,TRK-0147,SO0037,Straight Truck,Heavy Duty,1064,Diesel,6.53,2019,True
VEH00148,TRK-0148,SO0037,Tractor Trailer,Heavy Duty,1613,Diesel,7.03,2022,True
VEH00149,TRK-0149,SO0038,Tractor Trailer,Medium Duty,832,Diesel,7.4,2025,True
VEH00150,TRK-0150,SO0038,Tractor Trailer,Medium Duty,1403,Diesel,7.07,2022,True
VEH00151,TRK-0151,SO0038,Tractor Trailer,Medium Duty,1580,Diesel,9.03,2022,True
VEH00152,TRK-0152,SO0038,Box Truck,Medium Duty,1674,Diesel,9.9,2023,True
VEH00153,TRK-0153,SO0039,Box Truck,Heavy Duty,1114,Diesel,7.74,2024,True
VEH00154,TRK-0154,SO0039,Box Truck,Medium Duty,1107,Diesel,7.63,2019,True
VEH00155,TRK-0155,SO0039,Tractor Trailer,Heavy Duty,1261,Diesel,6.35,2019,True
VEH00156,TRK-0156,SO0039,Tractor Trailer,Medium Duty,1763,Diesel,7.08,2025,True
VEH00157,TRK-0157,SO0040,Straight Truck,Heavy Duty,1538,Diesel,9.88,2022,True
VEH00158,TRK-0158,SO0040,Tractor Trailer,Heavy Duty,1023,Diesel,6.12,2024,True
VEH00159,TRK-0159,SO0040,Box Truck,Heavy Duty,657,Diesel,9.11,2023,True
VEH00160,TRK-0160,SO0040,Box Truck,Medium Duty,616,Diesel,10.08,2018,True
VEH00161,TRK-0161,SO0041,Tractor Trailer,Heavy Duty,826,Diesel,7.13,2025,True
VEH00162,TRK-0162,SO0041,Tractor Trailer,Medium Duty,768,Diesel,9.55,2024,True
VEH00163,TRK-0163,SO0041,Straight Truck,Medium Duty,1748,Diesel,8.29,2025,True
VEH00164,TRK-0164,SO0041,Box Truck,Heavy Duty,1608,Diesel,8.79,2018,True
VEH00165,TRK-0165,SO0042,Tractor Trailer,Medium Duty,1728,Diesel,6.99,2023,True
VEH00166,TRK-0166,SO0042,Tractor Trailer,Medium Duty,964,Diesel,8.75,2023,True
VEH00167,TRK-0167,SO0042,Tractor Trailer,Medium Duty,717,Diesel,6.54,2025,True
VEH00168,TRK-0168,SO0042,Straight Truck,Heavy Duty,1775,Diesel,9.65,2023,True
VEH00169,TRK-0169,SO0043,Tractor Trailer,Heavy Duty,975,Diesel,6.7,2026,True
VEH00170,TRK-0170,SO0043,Straight Truck,Heavy Duty,1229,Diesel,8.92,2021,True
VEH00171,TRK-0171,SO0043,Straight Truck,Medium Duty,898,Diesel,9.23,2019,True
VEH00172,TRK-0172,SO0043,Straight Truck,Medium Duty,1771,Diesel,9.33,2025,True
VEH00173,TRK-0173,SO0044,Tractor Trailer,Heavy Duty,1488,Diesel,9.57,2025,True
VEH00174,TRK-0174,SO0044,Straight Truck,Heavy Duty,1723,Diesel,8.21,2020,True
VEH00175,TRK-0175,SO0044,Box Truck,Medium Duty,1537,Diesel,6.9,2024,True
VEH00176,TRK-0176,SO0044,Box Truck,Heavy Duty,665,Diesel,8.52,2020,True
VEH00177,TRK-0177,SO0045,Tractor Trailer,Heavy Duty,674,Diesel,8.53,2023,True
VEH00178,TRK-0178,SO0045,Box Truck,Medium Duty,781,Diesel,6.92,2026,True
VEH00179,TRK-0179,SO0045,Straight Truck,Medium Duty,752,Diesel,7.38,2024,True
VEH00180,TRK-0180,SO0045,Straight Truck,Heavy Duty,1520,Diesel,10.33,2020,True
VEH00181,TRK-0181,SO0046,Tractor Trailer,Heavy Duty,1602,Diesel,6.74,2023,True
VEH00182,TRK-0182,SO0046,Straight Truck,Heavy Duty,1776,Diesel,8.89,2024,True
VEH00183,TRK-0183,SO0046,Straight Truck,Medium Duty,1619,Diesel,8.6,2022,True
VEH00184,TRK-0184,SO0046,Box Truck,Medium Duty,656,Diesel,8.52,2023,True
VEH00185,TRK-0185,SO0047,Straight Truck,Medium Duty,1018,Diesel,9.12,2025,True
VEH00186,TRK-0186,SO0047,Tractor Trailer,Heavy Duty,1389,Diesel,7.53,2019,True
VEH00187,TRK-0187,SO0047,Straight Truck,Heavy Duty,1755,Diesel,10.3,2023,True
VEH00188,TRK-0188,SO0047,Straight Truck,Medium Duty,1236,Diesel,8.28,2022,True
VEH00189,TRK-0189,SO0048,Box Truck,Heavy Duty,991,Diesel,9.13,2025,True
VEH00190,TRK-0190,SO0048,Tractor Trailer,Medium Duty,709,Diesel,7.88,2018,True
VEH00191,TRK-0191,SO0048,Straight Truck,Heavy Duty,789,Diesel,10.15,2020,True
VEH00192,TRK-0192,SO0048,Tractor Trailer,Heavy Duty,758,Diesel,8.82,2020,True
