recommendation_id,recommendation_date,customer_id,sales_organization_id,frequency_rule_id,rolling_4_week_cases,average_weekly_cases,current_weekly_frequency,recommended_weekly_frequency,weekly_frequency_change,estimated_weekly_stops_saved,estimated_annual_stops_saved,estimated_annual_miles_saved,estimated_annual_driver_hours_saved,estimated_annual_fuel_saved,estimated_annual_cost_saved,estimated_annual_co2_saved,recommendation_status,implementation_status,review_required_flag,approved_flag
REC0000011,2026-08-01,CUST000011,SO0002,FR007,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000012,2026-08-01,CUST000012,SO0013,FR010,27.3,6.82,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000013,2026-08-01,CUST000013,SO0027,FR007,51.77,12.94,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000014,2026-08-01,CUST000014,SO0029,FR010,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000015,2026-08-01,CUST000015,SO0018,FR008,246.11,61.53,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000016,2026-08-01,CUST000016,SO0011,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000017,2026-08-01,CUST000017,SO0022,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000018,2026-08-01,CUST000018,SO0010,FR001,260.55,65.14,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000019,2026-08-01,CUST000019,SO0022,FR010,100.73,25.18,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000020,2026-08-01,CUST000020,SO0006,FR004,182.51,45.63,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000021,2026-08-01,CUST000021,SO0007,FR007,179.35,44.84,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000022,2026-08-01,CUST000022,SO0023,FR001,134.74,33.68,1,2,1,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000023,2026-08-01,CUST000023,SO0017,FR004,156.17000000000002,39.04,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000024,2026-08-01,CUST000024,SO0047,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000025,2026-08-01,CUST000025,SO0035,FR004,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000026,2026-08-01,CUST000026,SO0025,FR010,80.75,20.19,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000027,2026-08-01,CUST000027,SO0036,FR011,309.65,77.41,4,2,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000028,2026-08-01,CUST000028,SO0041,FR004,158.02,39.51,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000029,2026-08-01,CUST000029,SO0024,FR004,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000030,2026-08-01,CUST000030,SO0013,FR010,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000031,2026-08-01,CUST000031,SO0003,FR008,295.26,73.82,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000032,2026-08-01,CUST000032,SO0019,FR001,0.0,0.0,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000033,2026-08-01,CUST000033,SO0015,FR004,74.41,18.6,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000034,2026-08-01,CUST000034,SO0025,FR007,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000035,2026-08-01,CUST000035,SO0030,FR013,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000036,2026-08-01,CUST000036,SO0011,FR007,157.24,39.31,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000037,2026-08-01,CUST000037,SO0023,FR007,123.62,30.9,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000038,2026-08-01,CUST000038,SO0043,FR008,208.75,52.19,1,2,1,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000039,2026-08-01,CUST000039,SO0045,FR004,21.24,5.31,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000040,2026-08-01,CUST000040,SO0039,FR004,271.76,67.94,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000041,2026-08-01,CUST000041,SO0035,FR004,98.76,24.69,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000042,2026-08-01,CUST000042,SO0011,FR007,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000043,2026-08-01,CUST000043,SO0025,FR004,0.0,0.0,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000044,2026-08-01,CUST000044,SO0041,FR004,0.0,0.0,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000045,2026-08-01,CUST000045,SO0015,FR007,156.3,39.08,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000046,2026-08-01,CUST000046,SO0004,FR010,42.870000000000005,10.72,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000047,2026-08-01,CUST000047,SO0003,FR010,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000048,2026-08-01,CUST000048,SO0026,FR007,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000049,2026-08-01,CUST000049,SO0005,FR004,86.2,21.55,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000050,2026-08-01,CUST000050,SO0037,FR007,33.010000000000005,8.25,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000051,2026-08-01,CUST000051,SO0014,FR010,0.0,0.0,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000052,2026-08-01,CUST000052,SO0026,FR001,0.0,0.0,2,2,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000053,2026-08-01,CUST000053,SO0010,FR004,141.32,35.33,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000054,2026-08-01,CUST000054,SO0009,FR004,132.68,33.17,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000055,2026-08-01,CUST000055,SO0048,FR005,441.15,110.29,1,2,1,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000056,2026-08-01,CUST000056,SO0035,FR004,164.99,41.25,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000057,2026-08-01,CUST000057,SO0048,FR004,215.74,53.94,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000058,2026-08-01,CUST000058,SO0028,FR007,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000059,2026-08-01,CUST000059,SO0026,FR013,282.95,70.74,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000060,2026-08-01,CUST000060,SO0015,FR007,75.36,18.84,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000061,2026-08-01,CUST000061,SO0033,FR010,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000062,2026-08-01,CUST000062,SO0006,FR007,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000063,2026-08-01,CUST000063,SO0008,FR004,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000064,2026-08-01,CUST000064,SO0041,FR007,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000065,2026-08-01,CUST000065,SO0044,FR010,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000066,2026-08-01,CUST000066,SO0039,FR004,70.06,17.52,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000067,2026-08-01,CUST000067,SO0025,FR010,66.3,16.58,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000068,2026-08-01,CUST000068,SO0039,FR004,139.45,34.86,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000069,2026-08-01,CUST000069,SO0034,FR001,127.56,31.89,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000070,2026-08-01,CUST000070,SO0036,FR004,262.78000000000003,65.7,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000071,2026-08-01,CUST000071,SO0044,FR001,51.09,12.77,2,2,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000072,2026-08-01,CUST000072,SO0044,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000073,2026-08-01,CUST000073,SO0018,FR010,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000074,2026-08-01,CUST000074,SO0008,FR010,0.0,0.0,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000075,2026-08-01,CUST000075,SO0028,FR010,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000076,2026-08-01,CUST000076,SO0030,FR007,110.55,27.64,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000077,2026-08-01,CUST000077,SO0047,FR004,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000078,2026-08-01,CUST000078,SO0033,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000079,2026-08-01,CUST000079,SO0033,FR004,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000080,2026-08-01,CUST000080,SO0041,FR004,152.42000000000002,38.11,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000081,2026-08-01,CUST000081,SO0041,FR005,368.47,92.12,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000082,2026-08-01,CUST000082,SO0039,FR010,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000083,2026-08-01,CUST000083,SO0010,FR007,97.7,24.42,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000084,2026-08-01,CUST000084,SO0011,FR007,91.0,22.75,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000085,2026-08-01,CUST000085,SO0034,FR013,337.08,84.27,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000086,2026-08-01,CUST000086,SO0039,FR007,48.66,12.16,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000087,2026-08-01,CUST000087,SO0032,FR004,94.2,23.55,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000088,2026-08-01,CUST000088,SO0008,FR007,144.32,36.08,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000089,2026-08-01,CUST000089,SO0020,FR010,156.7,39.17,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000090,2026-08-01,CUST000090,SO0004,FR013,95.67,23.92,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000091,2026-08-01,CUST000091,SO0037,FR007,68.50999999999999,17.13,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000092,2026-08-01,CUST000092,SO0006,FR004,52.83,13.21,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000093,2026-08-01,CUST000093,SO0005,FR004,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000094,2026-08-01,CUST000094,SO0009,FR013,81.64,20.41,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000095,2026-08-01,CUST000095,SO0043,FR007,0.0,0.0,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000096,2026-08-01,CUST000096,SO0036,FR005,334.69,83.67,5,2,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000097,2026-08-01,CUST000097,SO0017,FR004,88.65,22.16,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000098,2026-08-01,CUST000098,SO0039,FR007,125.54,31.38,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000099,2026-08-01,CUST000099,SO0014,FR010,127.63,31.91,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000100,2026-08-01,CUST000100,SO0047,FR004,0.0,0.0,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000101,2026-08-01,CUST000101,SO0046,FR013,66.5,16.62,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000102,2026-08-01,CUST000102,SO0026,FR004,47.86,11.96,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000103,2026-08-01,CUST000103,SO0029,FR004,93.58,23.4,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000104,2026-08-01,CUST000104,SO0029,FR004,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000105,2026-08-01,CUST000105,SO0016,FR007,85.32,21.33,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000106,2026-08-01,CUST000106,SO0005,FR007,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000107,2026-08-01,CUST000107,SO0002,FR001,292.13,73.03,4,2,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000108,2026-08-01,CUST000108,SO0036,FR007,101.54,25.38,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000109,2026-08-01,CUST000109,SO0038,FR007,97.5,24.38,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000110,2026-08-01,CUST000110,SO0001,FR004,205.9,51.48,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000111,2026-08-01,CUST000111,SO0046,FR007,76.97,19.24,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000112,2026-08-01,CUST000112,SO0015,FR010,101.61,25.4,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000113,2026-08-01,CUST000113,SO0003,FR004,99.39,24.85,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000114,2026-08-01,CUST000114,SO0005,FR009,705.62,176.4,3,3,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000115,2026-08-01,CUST000115,SO0016,FR004,45.93,11.48,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000116,2026-08-01,CUST000116,SO0043,FR013,137.86,34.47,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000117,2026-08-01,CUST000117,SO0014,FR008,226.01,56.5,1,2,1,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000118,2026-08-01,CUST000118,SO0009,FR004,68.54,17.14,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000119,2026-08-01,CUST000119,SO0037,FR007,43.54,10.88,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000120,2026-08-01,CUST000120,SO0016,FR004,14.42,3.6,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000121,2026-08-01,CUST000121,SO0027,FR004,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000122,2026-08-01,CUST000122,SO0007,FR007,164.29,41.07,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000123,2026-08-01,CUST000123,SO0043,FR007,181.78,45.44,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000124,2026-08-01,CUST000124,SO0023,FR008,261.36,65.34,4,2,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000125,2026-08-01,CUST000125,SO0027,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000126,2026-08-01,CUST000126,SO0047,FR010,200.71,50.18,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000127,2026-08-01,CUST000127,SO0044,FR010,164.67000000000002,41.17,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000128,2026-08-01,CUST000128,SO0004,FR004,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000129,2026-08-01,CUST000129,SO0047,FR010,194.67,48.67,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000130,2026-08-01,CUST000130,SO0007,FR007,85.28,21.32,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000131,2026-08-01,CUST000131,SO0013,FR013,101.01,25.25,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000132,2026-08-01,CUST000132,SO0035,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000133,2026-08-01,CUST000133,SO0009,FR004,144.6,36.15,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000134,2026-08-01,CUST000134,SO0012,FR011,250.01,62.5,5,2,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000135,2026-08-01,CUST000135,SO0030,FR013,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000136,2026-08-01,CUST000136,SO0005,FR004,191.37,47.84,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000137,2026-08-01,CUST000137,SO0036,FR004,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000138,2026-08-01,CUST000138,SO0004,FR004,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000139,2026-08-01,CUST000139,SO0001,FR007,112.37,28.09,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000140,2026-08-01,CUST000140,SO0016,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000141,2026-08-01,CUST000141,SO0027,FR001,106.26,26.56,2,2,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000142,2026-08-01,CUST000142,SO0031,FR010,137.94,34.48,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000143,2026-08-01,CUST000143,SO0026,FR007,0.0,0.0,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000144,2026-08-01,CUST000144,SO0011,FR004,105.72,26.43,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000145,2026-08-01,CUST000145,SO0001,FR007,50.36,12.59,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000146,2026-08-01,CUST000146,SO0017,FR004,107.59,26.9,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000147,2026-08-01,CUST000147,SO0019,FR007,122.98,30.74,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000148,2026-08-01,CUST000148,SO0045,FR004,155.09,38.77,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000149,2026-08-01,CUST000149,SO0043,FR007,80.59,20.15,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000150,2026-08-01,CUST000150,SO0010,FR008,274.04,68.51,5,2,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000151,2026-08-01,CUST000151,SO0019,FR004,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000152,2026-08-01,CUST000152,SO0004,FR007,86.07,21.52,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000153,2026-08-01,CUST000153,SO0048,FR007,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000154,2026-08-01,CUST000154,SO0004,FR001,73.53,18.38,4,2,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000155,2026-08-01,CUST000155,SO0004,FR007,97.32,24.33,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000156,2026-08-01,CUST000156,SO0038,FR004,155.94,38.98,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000157,2026-08-01,CUST000157,SO0033,FR010,224.23,56.06,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000158,2026-08-01,CUST000158,SO0011,FR004,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000159,2026-08-01,CUST000159,SO0033,FR010,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000160,2026-08-01,CUST000160,SO0012,FR005,461.0,115.25,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000161,2026-08-01,CUST000161,SO0039,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000162,2026-08-01,CUST000162,SO0044,FR011,320.94,80.24,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000163,2026-08-01,CUST000163,SO0026,FR004,49.32,12.33,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000164,2026-08-01,CUST000164,SO0037,FR007,79.49000000000001,19.87,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000165,2026-08-01,CUST000165,SO0038,FR004,116.85,29.21,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000166,2026-08-01,CUST000166,SO0003,FR013,265.11,66.28,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000167,2026-08-01,CUST000167,SO0006,UNMATCHED,199.32,49.83,5,5,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000168,2026-08-01,CUST000168,SO0043,FR008,314.15,78.54,5,2,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000169,2026-08-01,CUST000169,SO0037,FR004,86.66,21.66,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
