activity_date,customer_id,sales_organization_id,total_sales_amount,total_cases,total_stops,hotshots,off_day_deliveries,driver_labor_cost,overtime_cost,fuel_cost,vehicle_operating_cost,delivery_handling_cost,hotshot_cost,off_day_delivery_cost,other_operational_cost,total_operational_cost
2024-01-01,CUST000858,SO0036,1862.4,79.02,1,0,0,33.2,0.83,13.74,19.83,38.63,0,0,7.81,114.04
2024-01-01,CUST000897,SO0015,807.34,30.96,1,0,0,38.62,6.44,24.67,21.65,15.05,0,0,9.32,115.75
2024-01-01,CUST000905,SO0010,1520.88,59.52,1,0,0,47.75,12.75,11.49,32.1,15.48,0,0,5.44,125.01
2024-01-01,CUST000911,SO0019,2001.97,78.72,1,0,0,51.01,5.15,11.04,33.03,16.81,0,0,11.67,128.71
2024-01-01,CUST000931,SO0023,1198.58,52.61,1,0,0,50.12,11.47,19.84,17.25,26.65,0,0,3.49,128.82
2024-01-01,CUST000978,SO0009,1255.47,56.46,1,0,0,41.24,0.33,24.09,14.88,24.03,0,0,3.91,108.48
2024-01-01,CUST000989,SO0021,2178.49,100.04,1,0,0,47.63,1.61,12.76,18.21,39.56,0,0,6.74,126.51
2024-01-01,CUST000998,SO0026,1383.39,50.17,1,0,0,37.4,10.77,12.58,12.36,16.63,0,0,3.59,93.33
2024-01-01,CUST001008,SO0021,1553.2,68.06,1,0,0,42.5,12.07,24.62,27.63,17.46,0,0,4.23,128.51
2024-01-01,CUST001051,SO0036,2481.42,167.61,1,0,0,49.37,13.78,23.15,26.58,50.55,0,0,5.85,169.28
2024-01-01,CUST001093,SO0022,2546.89,99.73,1,0,0,29.25,12.19,15.08,25.1,17.28,0,0,11.99,110.89
2024-01-01,CUST001158,SO0026,1775.55,61.65,1,0,0,46.09,9.51,23.08,33.02,28.22,0,0,2.07,141.99
2024-01-01,CUST001176,SO0027,1887.17,127.56,1,0,0,46.67,6.79,10.81,33.54,59.27,0,0,2.71,159.79
2024-01-01,CUST001177,SO0020,787.89,42.44,1,0,0,33.38,6.21,9.19,31.28,12.65,0,0,8.55,101.26
2024-01-01,CUST001244,SO0048,710.22,38.56,1,0,0,48.76,10.4,17.03,20.36,7.97,0,0,11.16,115.68
2024-01-01,CUST001313,SO0009,521.21,37.03,1,0,0,32.93,5.22,19.47,29.54,10.09,0,0,6.35,103.6
2024-01-01,CUST001315,SO0037,2545.77,95.79,1,0,0,43.31,0.55,9.16,33.26,27.11,0,0,5.79,119.18
2024-01-01,CUST001338,SO0001,2834.04,132.69,1,0,0,41.32,13.4,9.98,29.38,50.48,0,0,11.44,156.0
2024-01-01,CUST001346,SO0047,1001.8,46.74,1,0,1,31.74,6.42,11.48,30.15,16.39,0,110,8.04,214.22
2024-01-01,CUST001386,SO0017,1455.72,66.29,1,0,0,39.16,12.92,18.15,10.98,26.4,0,0,8.48,116.09
2024-01-01,CUST001413,SO0021,3430.99,153.01,1,0,1,47.32,7.91,18.47,19.78,72.93,0,110,10.03,286.44
2024-01-01,CUST001437,SO0001,1095.35,52.03,1,0,0,46.97,12.37,18.3,26.63,10.91,0,0,3.48,118.66
2024-01-01,CUST001471,SO0028,922.82,43.23,1,0,0,40.49,8.58,24.32,33.72,6.63,0,0,10.47,124.21
2024-01-01,CUST001495,SO0005,702.74,38.59,1,0,0,44.16,9.17,17.94,21.98,15.67,0,0,8.87,117.79
2024-01-01,CUST001501,SO0015,924.48,50.13,1,0,0,47.67,10.93,16.62,14.34,7.96,0,0,11.03,108.55
2024-01-01,CUST001514,SO0007,1210.08,65.72,1,0,0,45.54,5.5,10.11,33.66,30.1,0,0,5.95,130.86
2024-01-01,CUST001611,SO0021,1123.44,63.12,1,0,0,38.2,5.48,18.26,31.28,17.76,0,0,9.82,120.8
2024-01-01,CUST001690,SO0023,423.63,21.42,1,0,0,32.14,13.95,14.2,29.87,11.15,0,0,11.41,112.72
2024-01-01,CUST001731,SO0032,870.87,57.62,1,0,0,29.28,0.81,23.49,33.49,31.56,0,0,7.75,126.38
2024-01-01,CUST001739,SO0002,2057.07,98.02,1,0,0,43.5,1.88,21.78,18.63,36.88,0,0,9.47,132.14
2024-01-01,CUST001744,SO0042,2049.37,118.78,1,0,0,31.04,9.6,12.43,10.46,18.9,0,0,6.87,89.3
2024-01-01,CUST001748,SO0024,2228.18,88.79,1,0,0,47.99,11.62,12.77,12.94,42.08,0,0,7.29,134.69
2024-01-01,CUST001752,SO0028,1283.18,79.85,1,0,0,37.53,4.32,24.38,22.06,43.8,0,0,4.57,136.66
2024-01-01,CUST001770,SO0005,3119.68,121.81,1,0,0,32.18,2.76,11.01,11.4,41.78,0,0,2.95,102.08
2024-01-01,CUST001875,SO0019,2840.75,113.59,1,0,0,49.94,11.29,17.85,26.47,19.93,0,0,10.91,136.39
2024-01-01,CUST001894,SO0006,2277.15,110.09,1,0,0,40.25,12.74,11.3,10.22,20.17,0,0,6.01,100.69
2024-01-01,CUST001919,SO0008,971.19,50.87,1,0,0,31.95,11.44,16.25,17.88,23.58,0,0,9.02,110.12
2024-01-01,CUST001948,SO0047,1392.26,50.1,1,0,0,38.51,7.81,16.5,10.83,26.41,0,0,4.41,104.47
2024-01-01,CUST002007,SO0024,2264.1,116.51,1,0,0,47.43,4.94,8.28,22.21,58.51,0,0,8.14,149.51
2024-01-01,CUST002083,SO0032,2622.95,92.49,1,0,0,51.55,4.55,17.18,25.25,34.67,0,0,2.08,135.28
2024-01-01,CUST002121,SO0030,1633.25,115.99,1,0,0,32.13,4.34,13.75,31.43,37.02,0,0,9.06,127.73
2024-01-01,CUST002125,SO0027,2779.21,108.16,1,0,0,31.27,5.98,16.92,13.39,32.32,0,0,4.65,104.53
2024-01-01,CUST002139,SO0044,917.5,35.55,1,0,1,42.85,10.29,21.49,15.34,6.84,0,110,7.68,214.49
2024-01-01,CUST002160,SO0026,1550.08,53.75,1,0,0,45.39,7.73,18.53,25.55,14.2,0,0,11.03,122.43
2024-01-01,CUST002240,SO0030,1082.66,64.8,1,0,1,38.86,1.44,16.09,25.9,28.24,0,110,3.95,224.48
2024-01-01,CUST002253,SO0021,1222.65,86.12,1,0,0,32.0,10.72,15.97,29.94,43.93,0,0,9.38,141.94
2024-01-01,CUST002307,SO0018,1304.43,77.75,1,0,0,29.0,11.6,16.04,26.08,39.43,0,0,9.67,131.82
2024-01-01,CUST002356,SO0012,310.25,20.14,1,0,0,33.37,4.59,10.05,11.78,5.96,0,0,2.07,67.82
2024-01-01,CUST002434,SO0012,1309.35,84.37,1,0,0,45.97,13.06,12.71,29.63,34.37,0,0,8.35,144.09
2024-01-01,CUST002441,SO0018,402.51,23.9,1,0,0,39.88,10.33,12.38,34.58,4.97,0,0,4.4,106.54
2024-01-01,CUST002449,SO0013,3426.42,138.58,1,0,0,49.62,6.49,12.05,10.98,29.01,0,0,5.08,113.23
2024-01-01,CUST002483,SO0013,1353.29,65.8,1,0,0,48.82,9.21,16.83,32.95,31.61,0,0,4.46,143.88
2024-01-02,CUST000010,SO0033,1916.62,88.4,1,0,0,42.62,12.18,10.76,32.03,35.01,0,0,8.18,140.78
2024-01-02,CUST000030,SO0013,1104.36,47.5,1,0,0,50.39,10.6,23.4,27.57,7.39,0,0,2.08,121.43
2024-01-02,CUST000047,SO0003,1321.43,87.73,1,0,0,42.56,5.76,12.84,17.86,20.52,0,0,3.23,102.77
2024-01-02,CUST000065,SO0044,2103.38,91.1,1,0,0,42.84,7.02,15.26,16.74,27.62,0,0,4.86,114.34
2024-01-02,CUST000089,SO0020,3088.26,122.11,1,0,0,47.91,2.09,16.68,12.6,59.82,0,0,6.26,145.36
2024-01-02,CUST000108,SO0036,739.67,48.02,1,0,0,32.95,13.74,16.67,33.92,11.19,0,0,3.38,111.85
2024-01-02,CUST000154,SO0004,1495.82,54.07,1,0,0,51.39,12.25,16.24,22.64,24.75,0,0,7.74,135.01
2024-01-02,CUST000165,SO0038,1881.03,112.8,1,1,0,44.91,12.87,14.99,16.93,17.81,185,0,11.18,303.69
2024-01-02,CUST000181,SO0017,1390.42,48.66,1,0,0,39.6,9.65,24.4,31.76,13.74,0,0,9.85,129.0
2024-01-02,CUST000193,SO0010,3100.97,176.35,1,0,0,33.05,12.18,11.09,14.85,87.69,0,0,11.08,169.94
2024-01-02,CUST000206,SO0008,699.77,24.89,1,0,0,35.3,5.54,13.82,19.2,7.41,0,0,4.87,86.14
2024-01-02,CUST000209,SO0024,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2024-01-02,CUST000219,SO0048,1706.72,69.68,1,0,0,42.49,9.02,22.68,29.56,25.87,0,0,3.57,133.19
2024-01-02,CUST000237,SO0026,1638.58,71.2,1,0,0,48.3,13.31,15.04,32.88,11.64,0,0,8.46,129.63
2024-01-02,CUST000266,SO0020,951.56,37.89,1,0,0,42.85,2.27,18.11,10.04,12.42,0,0,5.01,90.7
2024-01-02,CUST000268,SO0020,2285.69,112.79,1,0,0,39.66,9.82,23.43,12.12,60.3,0,0,3.54,148.87
2024-01-02,CUST000273,SO0029,1429.85,63.34,1,0,0,46.9,12.92,10.37,33.42,30.46,0,0,2.48,136.55
2024-01-02,CUST000274,SO0033,1201.22,59.86,1,0,0,50.35,0.88,23.63,12.77,26.75,0,0,9.82,124.2
2024-01-02,CUST000286,SO0027,684.64,46.35,1,0,0,36.03,8.77,8.87,25.95,20.78,0,0,3.72,104.12
2024-01-02,CUST000311,SO0016,1473.05,80.0,1,0,0,41.34,6.81,16.87,27.55,28.51,0,0,2.19,123.27
2024-01-02,CUST000346,SO0021,3412.21,213.95,1,0,0,37.63,3.76,8.87,11.57,112.89,0,0,4.95,179.67
2024-01-02,CUST000370,SO0026,1077.62,44.96,1,0,0,45.84,2.52,19.7,17.87,20.43,0,0,6.95,113.31
2024-01-02,CUST000410,SO0016,630.54,34.62,1,0,0,37.6,3.5,22.45,26.37,15.8,0,0,8.37,114.09
2024-01-02,CUST000425,SO0008,1881.87,109.33,1,0,0,47.6,5.78,24.86,12.03,45.37,0,0,7.47,143.11
2024-01-02,CUST000462,SO0038,2111.39,132.75,1,0,0,47.54,4.97,17.46,31.03,30.54,0,0,5.86,137.4
2024-01-02,CUST000489,SO0045,1704.24,75.96,1,0,0,44.84,11.71,23.9,12.82,41.62,0,0,9.28,144.17
2024-01-02,CUST000527,SO0009,956.48,42.96,1,0,0,46.93,8.05,10.34,19.42,13.12,0,0,11.37,109.23
2024-01-02,CUST000551,SO0038,2233.29,110.42,1,0,0,50.33,0.72,20.21,21.55,32.95,0,0,7.3,133.06
2024-01-02,CUST000554,SO0035,2773.89,105.66,1,0,0,37.79,11.31,9.8,29.95,37.28,0,0,10.49,136.62
2024-01-02,CUST000585,SO0028,1124.78,45.38,1,0,0,46.33,4.33,12.73,30.12,18.62,0,0,8.75,120.88
2024-01-02,CUST000624,SO0039,1480.42,52.03,1,0,0,34.77,7.15,16.91,15.72,8.04,0,0,11.89,94.48
2024-01-02,CUST000626,SO0040,667.15,28.51,1,0,0,42.45,0.17,18.56,23.19,14.26,0,0,4.3,102.93
2024-01-02,CUST000628,SO0041,2101.16,98.96,1,0,0,29.34,1.56,8.75,13.9,26.81,0,0,7.44,87.8
2024-01-02,CUST000652,SO0041,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2024-01-02,CUST000655,SO0040,1719.96,78.73,1,0,0,31.35,3.34,14.32,24.26,17.04,0,0,3.77,94.08
2024-01-02,CUST000666,SO0009,1307.43,54.61,1,0,0,35.48,6.25,24.5,27.47,17.79,0,0,7.87,119.36
2024-01-02,CUST000700,SO0038,1299.65,48.81,1,0,0,49.57,0.17,18.99,27.54,19.58,0,0,3.46,119.31
2024-01-02,CUST000707,SO0024,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2024-01-02,CUST000749,SO0043,2088.27,114.23,1,0,0,40.38,1.57,10.72,26.9,60.91,0,0,11.4,151.88
2024-01-02,CUST000765,SO0002,2898.28,142.47000000000003,2,0,0,61.37,27.45,26.88,59.36,63.42,0,0,6.8,245.28
2024-01-02,CUST000787,SO0029,1449.95,57.79,1,0,0,31.82,9.82,16.73,11.1,14.23,0,0,5.25,88.95
2024-01-02,CUST000798,SO0014,1147.9,78.54,1,0,0,42.27,11.88,19.58,29.43,16.22,0,0,2.59,121.97
2024-01-02,CUST000817,SO0026,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2024-01-02,CUST000858,SO0036,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2024-01-02,CUST000898,SO0010,1390.75,74.03,1,0,0,28.38,8.07,10.11,20.87,19.26,0,0,10.0,96.69
2024-01-02,CUST000907,SO0011,4096.7,164.22,1,0,0,44.45,5.77,10.02,22.7,89.41,0,0,3.55,175.9
2024-01-02,CUST000954,SO0030,1823.38,103.72,1,0,0,31.21,12.68,10.28,11.32,16.43,0,0,11.72,93.64
2024-01-02,CUST000960,SO0019,2533.5,119.87,1,0,0,37.93,9.76,24.33,25.28,44.08,0,0,4.13,145.51
2024-01-02,CUST000977,SO0038,2404.22,122.54,1,0,0,50.79,5.11,15.75,17.16,19.52,0,0,6.76,115.09
2024-01-02,CUST000989,SO0021,1474.79,70.04,1,1,0,38.11,5.02,8.52,12.65,11.6,185,0,11.27,272.17
2024-01-02,CUST001007,SO0035,1135.45,41.47,1,0,0,49.37,4.12,9.29,21.46,19.64,0,0,6.24,110.12
2024-01-02,CUST001012,SO0039,777.8,43.21,1,0,1,35.93,6.74,15.73,33.13,8.62,0,110,5.45,215.6
2024-01-02,CUST001023,SO0003,515.53,35.62,1,0,0,33.44,6.66,23.18,16.21,18.94,0,0,6.32,104.75
2024-01-02,CUST001036,SO0016,1361.85,48.8,1,0,0,45.46,12.2,21.41,17.5,20.95,0,0,2.34,119.86
2024-01-02,CUST001039,SO0025,671.59,42.2,1,0,0,43.1,8.21,13.42,34.12,7.46,0,0,7.47,113.78
2024-01-02,CUST001042,SO0014,1323.04,76.23,1,0,0,36.81,5.76,9.8,25.7,11.49,0,0,10.76,100.32
2024-01-02,CUST001051,SO0036,2436.52,121.74,1,0,0,45.84,1.15,10.4,10.76,40.08,0,0,8.85,117.08
2024-01-02,CUST001061,SO0036,2916.85,129.39,1,0,0,28.45,10.97,8.95,20.6,67.63,0,0,3.98,140.58
2024-01-02,CUST001123,SO0016,4163.1,184.89,1,0,0,36.66,5.59,24.11,17.86,66.97,0,0,6.24,157.43
2024-01-02,CUST001165,SO0009,317.79,13.18,1,0,0,29.91,9.01,14.4,15.92,2.48,0,0,3.76,75.48
2024-01-02,CUST001166,SO0040,612.87,33.88,1,0,0,29.91,9.71,20.62,18.15,18.5,0,0,6.86,103.75
2024-01-02,CUST001174,SO0002,1783.25,80.11,1,0,0,42.01,6.88,9.7,18.35,21.17,0,0,3.47,101.58
2024-01-02,CUST001203,SO0022,1639.4,100.82,1,0,0,35.36,1.76,19.88,17.6,48.46,0,0,7.24,130.3
2024-01-02,CUST001211,SO0045,1928.31,90.19,1,0,0,49.27,11.82,14.85,13.6,22.94,0,0,6.89,119.37
2024-01-02,CUST001236,SO0001,2631.77,130.69,1,0,0,29.96,7.91,8.6,34.27,22.66,0,0,2.06,105.46
2024-01-02,CUST001296,SO0043,1218.8,52.13,1,0,0,40.29,1.09,18.95,22.81,27.38,0,0,9.17,119.69
2024-01-02,CUST001315,SO0037,3917.79,161.55,1,0,0,30.18,13.58,22.07,25.4,64.24,0,0,6.84,162.31
2024-01-02,CUST001335,SO0035,997.4,66.04,1,0,0,42.04,11.99,10.22,28.14,23.79,0,0,2.19,118.37
2024-01-02,CUST001401,SO0048,621.29,27.22,1,0,0,46.49,5.74,24.9,16.79,7.9,0,0,7.38,109.2
2024-01-02,CUST001409,SO0020,929.47,36.08,1,0,0,41.84,13.8,9.7,34.7,6.4,0,0,8.24,114.68
2024-01-02,CUST001447,SO0027,3734.35,156.42,1,0,0,43.58,5.95,19.15,18.56,54.5,0,0,11.79,153.53
2024-01-02,CUST001463,SO0020,725.63,34.24,1,0,0,32.8,9.54,18.29,31.57,8.08,0,0,11.68,111.96
2024-01-02,CUST001482,SO0002,1669.88,77.61,1,0,0,38.38,3.87,8.13,34.04,20.37,0,0,7.89,112.68
2024-01-02,CUST001506,SO0006,1190.98,82.3,1,0,0,34.28,1.16,10.24,25.69,27.13,0,0,3.56,102.06
2024-01-02,CUST001512,SO0048,1785.29,111.96,1,0,1,36.36,12.45,14.86,21.84,58.65,0,110,10.26,264.42
2024-01-02,CUST001558,SO0021,1295.81,76.04,1,0,0,28.06,9.83,9.2,15.66,20.37,0,0,6.47,89.59
2024-01-02,CUST001570,SO0045,4408.54,155.27,1,0,0,37.34,8.97,16.27,12.33,50.96,0,0,8.69,134.56
2024-01-02,CUST001577,SO0029,1311.76,65.47,1,0,0,35.62,1.88,16.92,22.52,23.04,0,0,5.16,105.14
2024-01-02,CUST001619,SO0036,2577.86,138.49,1,0,0,31.19,11.2,15.4,26.02,45.49,0,0,8.79,138.09
2024-01-02,CUST001652,SO0033,731.91,35.35,1,0,0,47.65,1.95,9.58,32.9,17.47,0,0,3.23,112.78
2024-01-02,CUST001656,SO0012,1610.94,59.89,1,0,0,51.58,2.13,20.45,32.51,19.86,0,0,2.97,129.5
2024-01-02,CUST001668,SO0042,575.56,28.25,1,0,0,42.23,4.44,21.61,15.96,11.61,0,0,8.29,104.14
2024-01-02,CUST001685,SO0035,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2024-01-02,CUST001716,SO0037,792.17,28.16,1,0,0,39.11,2.59,23.61,19.57,4.59,0,0,8.72,98.19
2024-01-02,CUST001845,SO0032,2877.99,134.3,1,0,0,35.17,9.18,19.05,20.73,34.54,0,0,3.96,122.63
2024-01-02,CUST001882,SO0001,717.82,46.04,1,0,0,40.53,10.89,12.14,10.31,13.97,0,0,9.72,97.56
2024-01-02,CUST001885,SO0041,1371.12,64.51,1,0,0,31.68,3.3,21.26,10.88,18.62,0,0,4.56,90.3
2024-01-02,CUST001900,SO0041,1951.15,105.65,1,0,0,37.06,5.87,10.99,30.04,52.38,0,0,8.05,144.39
2024-01-02,CUST001916,SO0023,1830.36,125.33,1,0,0,40.1,1.44,14.76,16.9,60.31,0,0,3.16,136.67
2024-01-02,CUST001952,SO0014,1043.56,54.26,1,0,1,35.29,8.76,17.72,10.26,17.66,0,110,8.06,207.75
2024-01-02,CUST001971,SO0018,2509.41,91.3,1,0,0,43.46,2.85,12.7,25.58,37.99,0,0,7.08,129.66
2024-01-02,CUST001977,SO0038,910.17,53.73,1,0,0,34.0,7.22,13.94,27.96,23.08,0,0,9.74,115.94
2024-01-02,CUST002013,SO0042,1271.98,59.72,1,0,0,34.19,4.51,18.08,13.99,31.85,0,0,4.42,107.04
2024-01-02,CUST002028,SO0007,2661.0,101.64,1,0,0,32.15,2.08,11.96,31.11,36.69,0,0,3.31,117.3
2024-01-02,CUST002065,SO0027,531.81,19.41,1,0,0,41.47,5.25,8.14,13.84,4.91,0,0,11.45,85.06
2024-01-02,CUST002085,SO0025,1169.42,41.15,1,0,0,35.77,10.48,24.22,29.19,8.85,0,0,5.82,114.33
2024-01-02,CUST002089,SO0017,518.6,24.87,1,0,0,35.28,7.63,24.78,17.5,4.61,0,0,3.65,93.45
2024-01-02,CUST002106,SO0034,2982.4,119.71,2,0,0,93.35,18.57,25.45,41.22,41.26,0,0,9.08,228.93
2024-01-02,CUST002117,SO0006,905.11,42.21,1,0,1,50.39,12.75,24.1,20.72,8.38,0,110,5.58,231.92
2024-01-02,CUST002120,SO0018,350.86,19.15,1,0,0,35.82,0.73,20.67,13.92,10.02,0,0,5.28,86.44
2024-01-02,CUST002124,SO0027,878.83,32.06,1,0,0,31.15,9.81,18.94,28.49,14.59,0,0,6.45,109.43
2024-01-02,CUST002134,SO0037,1406.3,81.95,1,0,0,47.55,13.54,16.33,25.7,43.1,0,0,2.09,148.31
2024-01-02,CUST002147,SO0045,1342.93,49.08,1,0,0,34.31,13.79,8.67,11.15,22.02,0,0,5.36,95.3
2024-01-02,CUST002163,SO0013,2172.32,77.0,1,0,0,50.92,7.97,11.93,18.54,19.75,0,0,8.65,117.76
2024-01-02,CUST002166,SO0004,2667.35,110.88,1,0,0,33.15,5.04,12.46,24.23,39.76,0,0,10.07,124.71
2024-01-02,CUST002179,SO0019,2157.06,92.07,1,0,0,43.71,13.57,16.68,11.82,16.07,0,0,4.43,106.28
2024-01-02,CUST002214,SO0026,3148.31,169.18,1,0,0,42.79,4.88,16.55,10.97,78.25,0,0,11.8,165.24
2024-01-02,CUST002225,SO0041,1911.3,105.35,1,0,0,50.01,1.71,18.03,20.18,39.98,0,0,10.46,140.37
2024-01-02,CUST002237,SO0027,1199.17,45.2,1,0,0,31.57,12.56,22.89,28.76,7.87,0,0,3.47,107.12
2024-01-02,CUST002249,SO0010,2139.59,99.87,1,0,0,41.29,12.99,23.84,28.11,25.85,0,0,10.99,143.07
2024-01-02,CUST002251,SO0027,2559.85,90.83,1,0,0,34.7,8.4,23.61,31.64,48.9,0,0,10.29,157.54
2024-01-02,CUST002265,SO0031,1098.69,45.46,1,0,0,42.77,5.34,10.73,35.0,20.14,0,0,11.12,125.1
2024-01-02,CUST002270,SO0034,4286.56,151.82,1,0,0,28.01,2.47,15.14,18.26,35.17,0,0,6.46,105.51
2024-01-02,CUST002314,SO0039,550.61,34.1,1,0,0,40.84,3.25,9.22,29.05,11.4,0,0,6.58,100.34
2024-01-02,CUST002315,SO0017,3124.31,115.27,1,0,0,50.09,8.32,22.17,13.45,34.25,0,0,3.3,131.58
2024-01-02,CUST002349,SO0027,3341.31,137.2,1,0,0,46.71,11.23,12.52,27.91,58.6,0,0,8.77,165.74
2024-01-02,CUST002354,SO0031,1293.91,82.13,1,0,0,48.32,13.96,20.52,20.6,26.5,0,0,2.98,132.88
2024-01-02,CUST002375,SO0010,1483.02,74.48,1,0,0,30.65,8.76,10.15,18.04,28.78,0,0,7.29,103.67
2024-01-02,CUST002382,SO0022,1528.11,95.48,1,1,0,28.03,8.78,20.53,15.23,37.49,185,0,2.17,297.23
2024-01-02,CUST002392,SO0032,1927.24,87.6,1,0,0,38.44,13.39,15.27,14.9,35.71,0,0,9.86,127.57
2024-01-02,CUST002429,SO0034,447.61,26.97,1,0,0,39.75,8.84,19.04,34.52,14.14,0,0,10.4,126.69
2024-01-02,CUST002469,SO0010,2676.58,116.35,1,0,0,48.13,13.51,10.54,23.9,44.96,0,0,6.67,147.71
2024-01-02,CUST002475,SO0015,3536.41,130.19,1,0,0,30.8,13.35,16.3,17.49,45.47,0,0,8.71,132.12
2024-01-02,CUST002484,SO0029,1459.45,77.91,1,0,0,39.03,0.43,19.24,28.89,13.48,0,0,7.31,108.38
2024-01-02,CUST002493,SO0008,1683.99,62.75,1,0,0,42.51,12.87,18.6,30.71,30.89,0,0,2.26,137.84
2024-01-03,CUST000016,SO0011,2930.7,102.13,1,0,0,28.69,13.9,15.64,15.3,29.74,0,0,7.87,111.14
2024-01-03,CUST000026,SO0025,1210.36,43.59,1,0,0,37.47,12.89,15.21,18.63,15.16,0,0,3.46,102.82
2024-01-03,CUST000032,SO0019,925.21,52.98,1,0,0,30.82,3.68,20.65,28.19,19.36,0,0,8.73,111.43
