purchase_order_number,purchase_order_line_number,invoice_number,purchase_timestamp,vehicle_id,sales_organization_id,vendor_id,vendor_name,fuel_type,gallons_purchased,fuel_unit_price,fuel_purchase_cost,odometer_reading
FPO00000082,1,FINV00000082,2025-01-12 06:52:00,VEH00001,SO0001,VENDOR011,Fuel Vendor 003,Diesel,30.962,4.2899,132.82,98344.15
FPO00000083,1,FINV00000083,2025-01-16 08:19:00,VEH00001,SO0001,VENDOR002,Fuel Vendor 019,Diesel,50.807,3.1,157.5,98351.69
FPO00000084,1,FINV00000084,2025-02-01 11:37:00,VEH00001,SO0001,VENDOR018,Fuel Vendor 007,Diesel,78.382,3.1404,246.15,98357.88
FPO00000085,1,FINV00000085,2025-02-08 06:02:00,VEH00001,SO0001,VENDOR016,Fuel Vendor 005,Diesel,18.562,4.7073,87.38,98362.95
FPO00000086,1,FINV00000086,2025-02-13 05:42:00,VEH00001,SO0001,VENDOR007,Fuel Vendor 006,Diesel,33.85,4.8156,163.01,98370.61
FPO00000087,1,FINV00000087,2025-02-13 05:03:00,VEH00001,SO0001,VENDOR003,Fuel Vendor 013,Diesel,20.914,4.8119,100.64,98386.81
FPO00000088,1,FINV00000088,2025-02-14 19:30:00,VEH00001,SO0001,VENDOR006,Fuel Vendor 001,Diesel,68.957,3.1474,217.04,98392.59
FPO00000089,1,FINV00000089,2025-02-15 10:13:00,VEH00001,SO0001,VENDOR019,Fuel Vendor 018,Diesel,27.843,3.6608,101.93,98400.29
FPO00000090,1,FINV00000090,2025-03-02 06:00:00,VEH00001,SO0001,VENDOR004,Fuel Vendor 009,Diesel,68.086,4.3061,293.19,98406.74
FPO00000091,1,FINV00000091,2025-03-07 15:36:00,VEH00001,SO0001,VENDOR007,Fuel Vendor 003,Diesel,57.47,3.4992,201.1,98413.8
FPO00000092,1,FINV00000092,2025-03-11 13:29:00,VEH00001,SO0001,VENDOR017,Fuel Vendor 009,Diesel,73.482,3.9764,292.19,98418.67
FPO00000093,1,FINV00000093,2025-03-18 10:52:00,VEH00001,SO0001,VENDOR007,Fuel Vendor 010,Diesel,67.941,3.5798,243.22,98425.64
FPO00000094,1,FINV00000094,2025-03-21 18:09:00,VEH00001,SO0001,VENDOR014,Fuel Vendor 008,Diesel,52.591,3.6173,190.24,98432.39
FPO00000095,1,FINV00000095,2025-04-03 10:24:00,VEH00001,SO0001,VENDOR017,Fuel Vendor 005,Diesel,72.659,3.5849,260.48,98437.03
FPO00000096,1,FINV00000096,2025-04-05 09:33:00,VEH00001,SO0001,VENDOR018,Fuel Vendor 010,Diesel,55.883,3.2766,183.11,98443.27
FPO00000097,1,FINV00000097,2025-04-05 08:07:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 002,Diesel,41.005,3.421,140.28,98450.68
FPO00000098,1,FINV00000098,2025-04-05 12:21:00,VEH00001,SO0001,VENDOR015,Fuel Vendor 006,Diesel,30.325,3.7705,114.34,98462.77
FPO00000099,1,FINV00000099,2025-04-22 10:22:00,VEH00001,SO0001,VENDOR012,Fuel Vendor 004,Diesel,64.788,4.5098,292.18,98468.49
FPO00000100,1,FINV00000100,2025-05-07 05:01:00,VEH00001,SO0001,VENDOR019,Fuel Vendor 011,Diesel,39.557,4.1815,165.41,98474.84
FPO00000101,1,FINV00000101,2025-05-07 13:00:00,VEH00001,SO0001,VENDOR003,Fuel Vendor 019,Diesel,45.236,3.2903,148.84,98479.2
FPO00000102,1,FINV00000102,2025-05-07 18:58:00,VEH00001,SO0001,VENDOR009,Fuel Vendor 012,Diesel,34.092,4.8046,163.8,98486.85
FPO00000103,1,FINV00000103,2025-05-09 07:44:00,VEH00001,SO0001,VENDOR012,Fuel Vendor 010,Diesel,40.418,3.6949,149.34,98492.05
FPO00000104,1,FINV00000104,2025-05-11 17:09:00,VEH00001,SO0001,VENDOR010,Fuel Vendor 018,Diesel,46.237,3.1566,145.95,98497.49
FPO00000105,1,FINV00000105,2025-05-29 18:01:00,VEH00001,SO0001,VENDOR012,Fuel Vendor 020,Diesel,81.329,3.7888,308.14,98501.3
FPO00000106,1,FINV00000106,2025-06-15 16:37:00,VEH00001,SO0001,VENDOR014,Fuel Vendor 004,Diesel,73.395,4.6076,338.17,98508.76
FPO00000107,1,FINV00000107,2025-06-16 11:49:00,VEH00001,SO0001,VENDOR005,Fuel Vendor 015,Diesel,22.246,3.601,80.11,98514.21
FPO00000108,1,FINV00000108,2025-06-21 13:11:00,VEH00001,SO0001,VENDOR017,Fuel Vendor 008,Diesel,33.757,3.8993,131.63,98521.47
FPO00000109,1,FINV00000109,2025-07-07 16:32:00,VEH00001,SO0001,VENDOR017,Fuel Vendor 001,Diesel,23.694,3.6735,87.04,98528.86
FPO00000110,1,FINV00000110,2025-07-09 17:57:00,VEH00001,SO0001,VENDOR008,Fuel Vendor 017,Diesel,59.803,4.2544,254.43,98534.57
FPO00000111,1,FINV00000111,2025-07-16 19:50:00,VEH00001,SO0001,VENDOR010,Fuel Vendor 010,Diesel,32.639,4.3341,141.46,98541.71
FPO00000112,1,FINV00000112,2025-07-22 15:33:00,VEH00001,SO0001,VENDOR011,Fuel Vendor 004,Diesel,32.308,3.2698,105.64,98550.2
FPO00000113,1,FINV00000113,2025-07-24 07:27:00,VEH00001,SO0001,VENDOR003,Fuel Vendor 007,Diesel,45.474,3.5503,161.45,98556.39
FPO00000114,1,FINV00000114,2025-07-26 06:35:00,VEH00001,SO0001,VENDOR020,Fuel Vendor 015,Diesel,32.351,3.56,115.17,98564.55
FPO00000115,1,FINV00000115,2025-07-30 11:49:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 013,Diesel,71.483,4.2543,304.11,98569.16
FPO00000116,1,FINV00000116,2025-08-05 14:56:00,VEH00001,SO0001,VENDOR004,Fuel Vendor 011,Diesel,31.526,4.7076,148.41,98576.7
FPO00000117,1,FINV00000117,2025-08-08 16:49:00,VEH00001,SO0001,VENDOR011,Fuel Vendor 010,Diesel,84.764,4.7245,400.47,98581.09
FPO00000118,1,FINV00000118,2025-08-08 18:47:00,VEH00001,SO0001,VENDOR007,Fuel Vendor 008,Diesel,63.647,3.8391,244.35,98586.78
FPO00000119,1,FINV00000119,2025-08-09 10:44:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 007,Diesel,74.11,4.2593,315.66,98591.0
FPO00000120,1,FINV00000120,2025-08-11 17:41:00,VEH00001,SO0001,VENDOR015,Fuel Vendor 020,Diesel,57.308,3.859,221.15,98595.41
FPO00000121,1,FINV00000121,2025-08-15 10:18:00,VEH00001,SO0001,VENDOR011,Fuel Vendor 010,Diesel,25.734,4.6272,119.08,98600.08
FPO00000122,1,FINV00000122,2025-08-22 19:49:00,VEH00001,SO0001,VENDOR020,Fuel Vendor 017,Diesel,66.273,4.097,271.52,98605.76
FPO00000123,1,FINV00000123,2025-08-23 10:30:00,VEH00001,SO0001,VENDOR011,Fuel Vendor 004,Diesel,25.027,3.1999,80.08,98610.79
FPO00000124,1,FINV00000124,2025-08-24 08:10:00,VEH00001,SO0001,VENDOR012,Fuel Vendor 015,Diesel,30.966,3.202,99.15,98617.32
FPO00000125,1,FINV00000125,2025-08-28 16:51:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 020,Diesel,27.097,4.0918,110.88,98623.23
FPO00000126,1,FINV00000126,2025-08-31 06:44:00,VEH00001,SO0001,VENDOR005,Fuel Vendor 016,Diesel,85.007,4.2138,358.2,98627.79
FPO00000127,1,FINV00000127,2025-09-04 17:45:00,VEH00001,SO0001,VENDOR014,Fuel Vendor 009,Diesel,61.08,4.5732,279.33,98634.16
FPO00000128,1,FINV00000128,2025-09-11 18:02:00,VEH00001,SO0001,VENDOR015,Fuel Vendor 020,Diesel,51.105,4.3802,223.85,98640.42
FPO00000129,1,FINV00000129,2025-09-20 06:13:00,VEH00001,SO0001,VENDOR016,Fuel Vendor 017,Diesel,77.558,3.2562,252.54,98648.2
FPO00000130,1,FINV00000130,2025-09-21 09:03:00,VEH00001,SO0001,VENDOR008,Fuel Vendor 007,Diesel,57.08,4.32,246.59,98652.18
FPO00000131,1,FINV00000131,2025-10-17 13:47:00,VEH00001,SO0001,VENDOR003,Fuel Vendor 006,Diesel,56.901,4.4985,255.97,98657.48
FPO00000132,1,FINV00000132,2025-10-21 07:50:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 010,Diesel,58.86,3.807,224.08,98661.1
FPO00000133,1,FINV00000133,2025-10-25 14:57:00,VEH00001,SO0001,VENDOR005,Fuel Vendor 008,Diesel,37.971,3.7897,143.9,98668.45
FPO00000134,1,FINV00000134,2025-10-27 19:18:00,VEH00001,SO0001,VENDOR013,Fuel Vendor 015,Diesel,19.646,4.7141,92.61,98675.86
FPO00000135,1,FINV00000135,2025-10-29 12:56:00,VEH00001,SO0001,VENDOR009,Fuel Vendor 019,Diesel,22.77,3.1722,72.23,98679.7
FPO00000136,1,FINV00000136,2025-10-30 19:07:00,VEH00001,SO0001,VENDOR005,Fuel Vendor 001,Diesel,79.959,3.4474,275.65,98686.6
FPO00000137,1,FINV00000137,2025-11-08 08:07:00,VEH00001,SO0001,VENDOR020,Fuel Vendor 015,Diesel,51.04,4.613,235.45,98691.97
FPO00000138,1,FINV00000138,2025-11-14 12:34:00,VEH00001,SO0001,VENDOR007,Fuel Vendor 020,Diesel,27.902,3.1197,87.05,98696.4
FPO00000139,1,FINV00000139,2025-11-28 11:47:00,VEH00001,SO0001,VENDOR009,Fuel Vendor 008,Diesel,53.95,4.4792,241.65,98702.34
FPO00000140,1,FINV00000140,2025-11-29 05:28:00,VEH00001,SO0001,VENDOR011,Fuel Vendor 007,Diesel,58.159,3.5739,207.85,98709.84
FPO00000141,1,FINV00000141,2025-11-29 07:18:00,VEH00001,SO0001,VENDOR010,Fuel Vendor 013,Diesel,54.174,3.684,199.58,98714.63
FPO00000142,1,FINV00000142,2025-12-06 08:19:00,VEH00001,SO0001,VENDOR005,Fuel Vendor 009,Diesel,33.328,3.698,123.25,98721.03
FPO00000143,1,FINV00000143,2025-12-12 10:35:00,VEH00001,SO0001,VENDOR008,Fuel Vendor 008,Diesel,76.457,3.8627,295.33,98725.87
FPO00000144,1,FINV00000144,2025-12-12 05:11:00,VEH00001,SO0001,VENDOR020,Fuel Vendor 011,Diesel,82.43,3.6114,297.69,98732.51
FPO00000145,1,FINV00000145,2025-12-15 15:15:00,VEH00001,SO0001,VENDOR018,Fuel Vendor 011,Diesel,51.034,3.7219,189.94,98737.18
FPO00000146,1,FINV00000146,2025-12-21 10:42:00,VEH00001,SO0001,VENDOR014,Fuel Vendor 016,Diesel,58.414,4.1803,244.19,98742.95
FPO00000147,1,FINV00000147,2025-12-21 19:53:00,VEH00001,SO0001,VENDOR013,Fuel Vendor 018,Diesel,88.386,3.4723,306.9,98750.18
FPO00000148,1,FINV00000148,2025-12-27 05:49:00,VEH00001,SO0001,VENDOR004,Fuel Vendor 015,Diesel,78.35,3.7839,296.47,98755.23
FPO00000149,1,FINV00000149,2025-12-28 09:05:00,VEH00001,SO0001,VENDOR019,Fuel Vendor 003,Diesel,47.301,3.1669,149.8,98761.92
FPO00000150,1,FINV00000150,2026-01-15 10:36:00,VEH00001,SO0001,VENDOR006,Fuel Vendor 018,Diesel,86.988,3.922,341.17,98770.86
FPO00000151,1,FINV00000151,2026-01-19 11:17:00,VEH00001,SO0001,VENDOR004,Fuel Vendor 004,Diesel,31.285,4.5831,143.38,98777.9
FPO00000152,1,FINV00000152,2026-01-21 11:40:00,VEH00001,SO0001,VENDOR016,Fuel Vendor 003,Diesel,23.811,3.5711,85.03,98783.32
FPO00000153,1,FINV00000153,2026-01-26 17:30:00,VEH00001,SO0001,VENDOR014,Fuel Vendor 016,Diesel,62.996,3.8877,244.91,98789.45
FPO00000154,1,FINV00000154,2026-01-29 10:46:00,VEH00001,SO0001,VENDOR006,Fuel Vendor 010,Diesel,49.335,3.7588,185.44,98795.09
FPO00000155,1,FINV00000155,2026-01-31 19:48:00,VEH00001,SO0001,VENDOR012,Fuel Vendor 018,Diesel,56.067,3.8704,217.0,98800.72
FPO00000156,1,FINV00000156,2026-02-02 19:47:00,VEH00001,SO0001,VENDOR011,Fuel Vendor 006,Diesel,18.709,4.1883,78.36,98807.01
FPO00000157,1,FINV00000157,2026-02-06 14:18:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 005,Diesel,70.614,4.8259,340.78,98815.08
FPO00000158,1,FINV00000158,2026-02-08 18:19:00,VEH00001,SO0001,VENDOR011,Fuel Vendor 019,Diesel,18.422,3.3472,61.66,98822.41
FPO00000159,1,FINV00000159,2026-02-09 08:52:00,VEH00001,SO0001,VENDOR004,Fuel Vendor 005,Diesel,33.855,3.9204,132.73,98826.84
FPO00000160,1,FINV00000160,2026-02-10 05:11:00,VEH00001,SO0001,VENDOR010,Fuel Vendor 005,Diesel,22.059,4.2906,94.65,98832.35
FPO00000161,1,FINV00000161,2026-02-11 07:23:00,VEH00001,SO0001,VENDOR015,Fuel Vendor 016,Diesel,80.152,4.7945,384.29,98840.31
FPO00000162,1,FINV00000162,2026-02-12 07:25:00,VEH00001,SO0001,VENDOR003,Fuel Vendor 005,Diesel,29.622,4.0143,118.91,98845.68
FPO00000163,1,FINV00000163,2026-02-16 10:25:00,VEH00001,SO0001,VENDOR019,Fuel Vendor 003,Diesel,49.256,4.6488,228.98,98853.47
FPO00000164,1,FINV00000164,2026-02-18 18:08:00,VEH00001,SO0001,VENDOR014,Fuel Vendor 019,Diesel,87.266,3.3733,294.37,98860.74
FPO00000165,1,FINV00000165,2026-02-19 11:56:00,VEH00001,SO0001,VENDOR019,Fuel Vendor 019,Diesel,82.906,3.7115,307.71,98866.62
FPO00000166,1,FINV00000166,2026-02-22 07:57:00,VEH00001,SO0001,VENDOR018,Fuel Vendor 019,Diesel,51.019,4.5444,231.85,98874.33
FPO00000167,1,FINV00000167,2026-03-02 10:35:00,VEH00001,SO0001,VENDOR015,Fuel Vendor 016,Diesel,73.054,4.2324,309.19,98882.67
FPO00000168,1,FINV00000168,2026-03-12 16:18:00,VEH00001,SO0001,VENDOR009,Fuel Vendor 020,Diesel,57.856,3.5443,205.06,98889.26
FPO00000169,1,FINV00000169,2026-04-08 17:31:00,VEH00001,SO0001,VENDOR020,Fuel Vendor 010,Diesel,66.324,3.5638,236.37,98893.4
FPO00000170,1,FINV00000170,2026-04-11 07:59:00,VEH00001,SO0001,VENDOR008,Fuel Vendor 008,Diesel,54.849,3.9193,214.97,98899.22
