sales_organization_id,region_id,region_name,market_unit_id,market_unit_name,distribution_center_id,distribution_center_name,sales_territory_id,sales_territory_name,distribution_center_latitude,distribution_center_longitude,active_flag
SO0027,R02,Central Region,MU0202,Southern Plains Market Unit,DC020201,Dallas DC,T0027,Dallas DC Territory 3,32.7767,-96.797,True
SO0028,R02,Central Region,MU0202,Southern Plains Market Unit,DC020201,Dallas DC,T0028,Dallas DC Territory 4,32.7767,-96.797,True
SO0029,R02,Central Region,MU0202,Southern Plains Market Unit,DC020202,Oklahoma City DC,T0029,Oklahoma City DC Territory 1,35.4676,-97.5164,True
SO0030,R02,Central Region,MU0202,Southern Plains Market Unit,DC020202,Oklahoma City DC,T0030,Oklahoma City DC Territory 2,35.4676,-97.5164,True
SO0031,R02,Central Region,MU0202,Southern Plains Market Unit,DC020202,Oklahoma City DC,T0031,Oklahoma City DC Territory 3,35.4676,-97.5164,True
SO0032,R02,Central Region,MU0202,Southern Plains Market Unit,DC020202,Oklahoma City DC,T0032,Oklahoma City DC Territory 4,35.4676,-97.5164,True
SO0033,R03,East Region,MU0301,Northeast Market Unit,DC030101,Boston DC,T0033,Boston DC Territory 1,42.3601,-71.0589,True
SO0034,R03,East Region,MU0301,Northeast Market Unit,DC030101,Boston DC,T0034,Boston DC Territory 2,42.3601,-71.0589,True
SO0035,R03,East Region,MU0301,Northeast Market Unit,DC030101,Boston DC,T0035,Boston DC Territory 3,42.3601,-71.0589,True
SO0036,R03,East Region,MU0301,Northeast Market Unit,DC030101,Boston DC,T0036,Boston DC Territory 4,42.3601,-71.0589,True
SO0037,R03,East Region,MU0301,Northeast Market Unit,DC030102,Newark DC,T0037,Newark DC Territory 1,40.7357,-74.1724,True
SO0038,R03,East Region,MU0301,Northeast Market Unit,DC030102,Newark DC,T0038,Newark DC Territory 2,40.7357,-74.1724,True
SO0039,R03,East Region,MU0301,Northeast Market Unit,DC030102,Newark DC,T0039,Newark DC Territory 3,40.7357,-74.1724,True
SO0040,R03,East Region,MU0301,Northeast Market Unit,DC030102,Newark DC,T0040,Newark DC Territory 4,40.7357,-74.1724,True
SO0041,R03,East Region,MU0302,Southeast Market Unit,DC030201,Atlanta DC,T0041,Atlanta DC Territory 1,33.749,-84.388,True
SO0042,R03,East Region,MU0302,Southeast Market Unit,DC030201,Atlanta DC,T0042,Atlanta DC Territory 2,33.749,-84.388,True
SO0043,R03,East Region,MU0302,Southeast Market Unit,DC030201,Atlanta DC,T0043,Atlanta DC Territory 3,33.749,-84.388,True
SO0044,R03,East Region,MU0302,Southeast Market Unit,DC030201,Atlanta DC,T0044,Atlanta DC Territory 4,33.749,-84.388,True
SO0045,R03,East Region,MU0302,Southeast Market Unit,DC030202,Charlotte DC,T0045,Charlotte DC Territory 1,35.2271,-80.8431,True
SO0046,R03,East Region,MU0302,Southeast Market Unit,DC030202,Charlotte DC,T0046,Charlotte DC Territory 2,35.2271,-80.8431,True
SO0047,R03,East Region,MU0302,Southeast Market Unit,DC030202,Charlotte DC,T0047,Charlotte DC Territory 3,35.2271,-80.8431,True
SO0048,R03,East Region,MU0302,Southeast Market Unit,DC030202,Charlotte DC,T0048,Charlotte DC Territory 4,35.2271,-80.8431,True
