route_id,route_name,sales_organization_id,route_type,planned_distance_miles,planned_stops,planned_duration_hours,active_flag
ROUTE00075,Route 00075,SO0019,Suburban,171.57,17,9.5,True
ROUTE00076,Route 00076,SO0019,Suburban,208.14,17,9.8,True
ROUTE00077,Route 00077,SO0020,Rural,65.54,19,7.51,True
ROUTE00078,Route 00078,SO0020,Urban,127.51,23,7.76,True
ROUTE00079,Route 00079,SO0020,Urban,82.69,24,9.42,True
ROUTE00080,Route 00080,SO0020,Mixed,154.2,11,8.54,True
ROUTE00081,Route 00081,SO0021,Suburban,95.69,24,9.33,True
ROUTE00082,Route 00082,SO0021,Suburban,129.63,30,9.27,True
ROUTE00083,Route 00083,SO0021,Suburban,186.98,20,7.34,True
ROUTE00084,Route 00084,SO0021,Mixed,126.05,24,6.53,True
ROUTE00085,Route 00085,SO0022,Suburban,152.16,20,6.12,True
ROUTE00086,Route 00086,SO0022,Suburban,92.71,10,9.03,True
ROUTE00087,Route 00087,SO0022,Suburban,57.48,19,8.0,True
ROUTE00088,Route 00088,SO0022,Suburban,135.5,26,9.31,True
ROUTE00089,Route 00089,SO0023,Suburban,131.88,8,6.9,True
ROUTE00090,Route 00090,SO0023,Urban,198.1,10,9.39,True
ROUTE00091,Route 00091,SO0023,Suburban,72.63,8,9.92,True
ROUTE00092,Route 00092,SO0023,Mixed,118.3,22,7.99,True
ROUTE00093,Route 00093,SO0024,Rural,177.98,8,8.26,True
ROUTE00094,Route 00094,SO0024,Suburban,217.59,14,9.99,True
ROUTE00095,Route 00095,SO0024,Rural,133.47,21,8.84,True
ROUTE00096,Route 00096,SO0024,Mixed,110.28,13,8.89,True
ROUTE00097,Route 00097,SO0025,Mixed,187.34,27,8.07,True
ROUTE00098,Route 00098,SO0025,Rural,96.32,27,7.06,True
ROUTE00099,Route 00099,SO0025,Rural,191.14,24,9.72,True
ROUTE00100,Route 00100,SO0025,Urban,188.19,12,8.54,True
ROUTE00101,Route 00101,SO0026,Urban,183.31,13,7.21,True
ROUTE00102,Route 00102,SO0026,Rural,199.41,21,7.91,True
ROUTE00103,Route 00103,SO0026,Urban,86.69,30,9.96,True
ROUTE00104,Route 00104,SO0026,Rural,71.57,24,9.75,True
ROUTE00105,Route 00105,SO0027,Rural,140.65,26,7.23,True
ROUTE00106,Route 00106,SO0027,Mixed,147.01,27,6.25,True
ROUTE00107,Route 00107,SO0027,Mixed,81.23,22,7.56,True
ROUTE00108,Route 00108,SO0027,Mixed,52.9,14,8.98,True
ROUTE00109,Route 00109,SO0028,Rural,58.78,12,7.72,True
ROUTE00110,Route 00110,SO0028,Suburban,150.02,22,7.73,True
ROUTE00111,Route 00111,SO0028,Suburban,99.34,9,7.38,True
ROUTE00112,Route 00112,SO0028,Urban,154.35,10,6.98,True
ROUTE00113,Route 00113,SO0029,Rural,49.85,25,8.03,True
ROUTE00114,Route 00114,SO0029,Suburban,201.28,17,7.09,True
ROUTE00115,Route 00115,SO0029,Urban,110.38,18,7.2,True
ROUTE00116,Route 00116,SO0029,Mixed,49.28,20,8.78,True
ROUTE00117,Route 00117,SO0030,Rural,87.06,22,8.25,True
ROUTE00118,Route 00118,SO0030,Urban,59.05,19,9.43,True
ROUTE00119,Route 00119,SO0030,Mixed,133.78,25,7.51,True
ROUTE00120,Route 00120,SO0030,Urban,123.49,14,8.73,True
ROUTE00121,Route 00121,SO0031,Mixed,58.74,29,7.25,True
ROUTE00122,Route 00122,SO0031,Rural,161.95,18,6.09,True
ROUTE00123,Route 00123,SO0031,Suburban,158.26,29,9.73,True
ROUTE00124,Route 00124,SO0031,Urban,40.19,17,8.11,True
ROUTE00125,Route 00125,SO0032,Urban,72.79,16,9.68,True
ROUTE00126,Route 00126,SO0032,Rural,170.5,16,8.02,True
ROUTE00127,Route 00127,SO0032,Mixed,107.84,11,8.64,True
ROUTE00128,Route 00128,SO0032,Urban,212.76,18,9.84,True
ROUTE00129,Route 00129,SO0033,Urban,208.89,23,9.03,True
ROUTE00130,Route 00130,SO0033,Rural,128.54,30,9.95,True
ROUTE00131,Route 00131,SO0033,Suburban,136.53,24,8.05,True
ROUTE00132,Route 00132,SO0033,Mixed,199.51,21,9.65,True
ROUTE00133,Route 00133,SO0034,Rural,79.58,18,8.31,True
ROUTE00134,Route 00134,SO0034,Urban,168.06,14,6.89,True
ROUTE00135,Route 00135,SO0034,Rural,149.65,25,8.24,True
ROUTE00136,Route 00136,SO0034,Rural,177.49,27,8.17,True
ROUTE00137,Route 00137,SO0035,Mixed,214.34,26,6.48,True
ROUTE00138,Route 00138,SO0035,Suburban,141.8,22,9.41,True
ROUTE00139,Route 00139,SO0035,Mixed,133.02,30,6.55,True
ROUTE00140,Route 00140,SO0035,Mixed,178.18,17,6.97,True
ROUTE00141,Route 00141,SO0036,Urban,208.61,13,7.05,True
ROUTE00142,Route 00142,SO0036,Suburban,133.32,20,7.82,True
ROUTE00143,Route 00143,SO0036,Rural,172.95,9,8.44,True
ROUTE00144,Route 00144,SO0036,Rural,85.62,28,6.53,True
ROUTE00145,Route 00145,SO0037,Urban,173.04,11,7.03,True
ROUTE00146,Route 00146,SO0037,Urban,81.45,9,7.12,True
ROUTE00147,Route 00147,SO0037,Mixed,115.21,21,9.86,True
ROUTE00148,Route 00148,SO0037,Suburban,96.74,28,6.33,True
ROUTE00149,Route 00149,SO0038,Suburban,163.56,24,8.83,True
ROUTE00150,Route 00150,SO0038,Mixed,196.08,30,8.36,True
ROUTE00151,Route 00151,SO0038,Suburban,47.75,29,6.21,True
ROUTE00152,Route 00152,SO0038,Rural,57.0,11,8.67,True
ROUTE00153,Route 00153,SO0039,Suburban,121.02,26,7.45,True
ROUTE00154,Route 00154,SO0039,Suburban,157.36,19,7.99,True
ROUTE00155,Route 00155,SO0039,Urban,202.14,9,8.71,True
ROUTE00156,Route 00156,SO0039,Urban,80.11,29,6.34,True
ROUTE00157,Route 00157,SO0040,Mixed,215.48,16,9.72,True
ROUTE00158,Route 00158,SO0040,Mixed,98.84,28,7.17,True
ROUTE00159,Route 00159,SO0040,Mixed,62.22,24,6.44,True
ROUTE00160,Route 00160,SO0040,Mixed,175.16,11,6.8,True
ROUTE00161,Route 00161,SO0041,Urban,87.76,25,8.88,True
ROUTE00162,Route 00162,SO0041,Mixed,41.61,29,9.53,True
ROUTE00163,Route 00163,SO0041,Rural,184.83,28,8.32,True
ROUTE00164,Route 00164,SO0041,Mixed,147.96,17,6.91,True
ROUTE00165,Route 00165,SO0042,Rural,111.56,13,8.01,True
ROUTE00166,Route 00166,SO0042,Urban,158.94,16,8.37,True
ROUTE00167,Route 00167,SO0042,Mixed,69.8,13,8.94,True
ROUTE00168,Route 00168,SO0042,Rural,69.26,23,8.03,True
ROUTE00169,Route 00169,SO0043,Suburban,179.29,24,6.32,True
ROUTE00170,Route 00170,SO0043,Suburban,134.2,10,9.07,True
ROUTE00171,Route 00171,SO0043,Rural,57.37,15,7.17,True
ROUTE00172,Route 00172,SO0043,Mixed,218.9,23,6.22,True
ROUTE00173,Route 00173,SO0044,Mixed,176.28,24,6.55,True
ROUTE00174,Route 00174,SO0044,Rural,187.9,9,7.85,True
ROUTE00175,Route 00175,SO0044,Mixed,123.25,10,6.96,True
ROUTE00176,Route 00176,SO0044,Suburban,103.67,18,7.95,True
ROUTE00177,Route 00177,SO0045,Suburban,91.63,24,6.55,True
ROUTE00178,Route 00178,SO0045,Mixed,97.43,23,7.28,True
ROUTE00179,Route 00179,SO0045,Suburban,64.2,19,7.63,True
ROUTE00180,Route 00180,SO0045,Suburban,53.88,10,9.45,True
ROUTE00181,Route 00181,SO0046,Suburban,81.14,14,7.45,True
ROUTE00182,Route 00182,SO0046,Mixed,171.27,20,9.5,True
ROUTE00183,Route 00183,SO0046,Urban,212.65,26,9.1,True
ROUTE00184,Route 00184,SO0046,Suburban,80.94,13,7.61,True
ROUTE00185,Route 00185,SO0047,Rural,80.02,11,6.06,True
ROUTE00186,Route 00186,SO0047,Mixed,132.13,13,9.44,True
ROUTE00187,Route 00187,SO0047,Rural,189.4,28,8.43,True
ROUTE00188,Route 00188,SO0047,Rural,46.38,17,6.98,True
ROUTE00189,Route 00189,SO0048,Mixed,72.62,9,6.78,True
ROUTE00190,Route 00190,SO0048,Suburban,116.57,19,9.87,True
ROUTE00191,Route 00191,SO0048,Rural,123.25,24,8.08,True
ROUTE00192,Route 00192,SO0048,Mixed,122.85,12,9.53,True
