sales_transaction_id,sales_transaction_line_number,delivery_order_id,purchase_date,customer_id,material_id,sales_organization_id,cases_sold,gross_sales_amount,discount_amount,net_sales_amount
SALE0000000010,3,DEL000000010,2025-01-29,CUST000503,MAT00036,SO0034,8.87,221.78,2.1,219.68
SALE0000000010,4,DEL000000010,2025-01-29,CUST000503,MAT00021,SO0034,11.8,319.4,20.31,299.09
SALE0000000011,1,DEL000000011,2024-11-30,CUST001817,MAT00012,SO0006,128.47,2801.36,146.31,2655.05
SALE0000000012,1,DEL000000012,2025-10-04,CUST001795,MAT00033,SO0016,123.2,2129.06,169.62,1959.44
SALE0000000013,1,DEL000000013,2024-01-12,CUST001358,MAT00027,SO0009,27.93,470.48,8.05,462.43
SALE0000000013,2,DEL000000013,2024-01-12,CUST001358,MAT00010,SO0009,19.26,410.06,13.24,396.82
SALE0000000013,3,DEL000000013,2024-01-12,CUST001358,MAT00003,SO0009,69.62,1315.09,104.08,1211.01
SALE0000000014,1,DEL000000014,2024-12-25,CUST000668,MAT00007,SO0043,3.75,82.31,0.23,82.08
SALE0000000014,2,DEL000000014,2024-12-25,CUST000668,MAT00022,SO0043,17.59,486.07,27.49,458.58
SALE0000000014,3,DEL000000014,2024-12-25,CUST000668,MAT00002,SO0043,24.56,683.67,30.6,653.07
SALE0000000015,1,DEL000000015,2025-10-07,CUST000967,MAT00036,SO0035,12.02,198.47,3.49,194.98
SALE0000000015,2,DEL000000015,2025-10-07,CUST000967,MAT00020,SO0035,9.7,149.14,4.89,144.25
SALE0000000015,3,DEL000000015,2025-10-07,CUST000967,MAT00032,SO0035,44.41,799.63,7.27,792.36
SALE0000000016,1,DEL000000016,2025-11-04,CUST002221,MAT00029,SO0038,39.66,1091.82,42.58,1049.24
SALE0000000016,2,DEL000000016,2025-11-04,CUST002221,MAT00037,SO0038,4.38,62.99,3.75,59.24
SALE0000000017,1,DEL000000017,2026-02-18,CUST001344,MAT00004,SO0023,20.39,406.56,15.14,391.42
SALE0000000018,1,DEL000000018,2025-06-08,CUST001250,MAT00011,SO0020,2.42,34.4,1.67,32.73
SALE0000000018,2,DEL000000018,2025-06-08,CUST001250,MAT00008,SO0020,67.35,1088.96,37.6,1051.36
SALE0000000018,3,DEL000000018,2025-06-08,CUST001250,MAT00014,SO0020,13.5,348.19,20.49,327.7
SALE0000000018,4,DEL000000018,2025-06-08,CUST001250,MAT00023,SO0020,4.54,123.18,0.71,122.47
SALE0000000019,1,DEL000000019,2026-05-09,CUST000089,MAT00030,SO0020,45.22,795.29,53.87,741.42
SALE0000000019,2,DEL000000019,2026-05-09,CUST000089,MAT00002,SO0020,29.8,829.23,21.62,807.61
SALE0000000019,3,DEL000000019,2026-05-09,CUST000089,MAT00012,SO0020,29.27,747.13,3.79,743.34
SALE0000000019,4,DEL000000019,2026-05-09,CUST000089,MAT00031,SO0020,21.79,431.5,25.27,406.23
SALE0000000020,1,DEL000000020,2024-12-03,CUST001220,MAT00023,SO0019,5.77,84.12,0.41,83.71
SALE0000000020,2,DEL000000020,2024-12-03,CUST001220,MAT00034,SO0019,14.52,420.72,16.11,404.61
SALE0000000020,3,DEL000000020,2024-12-03,CUST001220,MAT00016,SO0019,67.01,1661.12,21.52,1639.6
SALE0000000020,4,DEL000000020,2024-12-03,CUST001220,MAT00025,SO0019,15.27,327.12,24.66,302.46
SALE0000000021,1,DEL000000021,2026-01-22,CUST000089,MAT00007,SO0020,3.97,73.61,2.04,71.57
SALE0000000021,2,DEL000000021,2026-01-22,CUST000089,MAT00037,SO0020,78.49,1185.78,13.99,1171.79
SALE0000000021,3,DEL000000021,2026-01-22,CUST000089,MAT00002,SO0020,13.68,255.37,10.55,244.82
SALE0000000021,4,DEL000000021,2026-01-22,CUST000089,MAT00018,SO0020,39.39,988.62,43.2,945.42
SALE0000000022,1,DEL000000022,2025-08-26,CUST002201,MAT00016,SO0001,93.81,1461.35,109.5,1351.85
SALE0000000022,2,DEL000000022,2025-08-26,CUST002201,MAT00018,SO0001,46.93,1061.97,76.57,985.4
SALE0000000023,1,DEL000000023,2025-01-14,CUST001072,MAT00025,SO0036,26.33,755.97,31.19,724.78
SALE0000000023,2,DEL000000023,2025-01-14,CUST001072,MAT00012,SO0036,23.15,382.11,20.44,361.67
SALE0000000024,1,DEL000000024,2024-07-02,CUST002104,MAT00002,SO0046,62.22,1033.63,46.45,987.18
SALE0000000025,1,DEL000000025,2026-07-17,CUST000241,MAT00022,SO0017,70.33,1601.91,98.46,1503.45
SALE0000000026,1,DEL000000026,2024-08-11,CUST001789,MAT00024,SO0019,72.94,1123.79,30.32,1093.47
SALE0000000026,2,DEL000000026,2024-08-11,CUST001789,MAT00018,SO0019,9.74,179.4,0.55,178.85
SALE0000000027,1,DEL000000027,2024-06-01,CUST000371,MAT00030,SO0005,6.23,170.94,11.88,159.06
SALE0000000027,2,DEL000000027,2024-06-01,CUST000371,MAT00007,SO0005,42.86,832.0,3.54,828.46
SALE0000000027,3,DEL000000027,2024-06-01,CUST000371,MAT00001,SO0005,14.09,340.18,26.3,313.88
SALE0000000027,4,DEL000000027,2024-06-01,CUST000371,MAT00034,SO0005,13.27,217.5,3.65,213.85
SALE0000000028,1,DEL000000028,2024-12-11,CUST001499,MAT00020,SO0041,35.04,746.35,31.36,714.99
SALE0000000029,1,DEL000000029,2026-04-15,CUST001189,MAT00013,SO0013,168.93,2714.47,30.33,2684.14
SALE0000000030,1,DEL000000030,2026-06-07,CUST000041,MAT00025,SO0035,5.85,86.72,2.58,84.14
SALE0000000030,2,DEL000000030,2026-06-07,CUST000041,MAT00038,SO0035,8.77,238.99,8.3,230.69
SALE0000000030,3,DEL000000030,2026-06-07,CUST000041,MAT00003,SO0035,0.85,18.74,0.71,18.03
SALE0000000030,4,DEL000000030,2026-06-07,CUST000041,MAT00023,SO0035,39.11,590.85,0.98,589.87
SALE0000000031,1,DEL000000031,2024-06-01,CUST000349,MAT00023,SO0018,39.21,685.01,18.67,666.34
SALE0000000032,1,DEL000000032,2024-07-12,CUST000455,MAT00001,SO0006,50.36,1218.49,19.39,1199.1
SALE0000000033,1,DEL000000033,2025-12-30,CUST001550,MAT00012,SO0022,19.9,551.41,9.85,541.56
SALE0000000033,2,DEL000000033,2025-12-30,CUST001550,MAT00015,SO0022,29.25,580.39,44.57,535.82
SALE0000000034,1,DEL000000034,2026-03-26,CUST001873,MAT00034,SO0030,35.1,697.19,28.56,668.63
SALE0000000034,2,DEL000000034,2026-03-26,CUST001873,MAT00038,SO0030,57.88,1397.12,26.53,1370.59
SALE0000000034,3,DEL000000034,2026-03-26,CUST001873,MAT00002,SO0030,0.34,4.89,0.36,4.53
SALE0000000035,1,DEL000000035,2024-04-26,CUST000150,MAT00038,SO0010,93.3,1956.36,59.47,1896.89
SALE0000000036,1,DEL000000036,2026-06-11,CUST001634,MAT00020,SO0035,47.24,1016.32,44.96,971.36
SALE0000000037,1,DEL000000037,2025-09-27,CUST000026,MAT00003,SO0025,49.72,934.28,68.86,865.42
SALE0000000037,2,DEL000000037,2025-09-27,CUST000026,MAT00034,SO0025,69.48,1536.34,80.26,1456.08
SALE0000000037,3,DEL000000037,2025-09-27,CUST000026,MAT00037,SO0025,27.19,654.51,15.94,638.57
SALE0000000038,1,DEL000000038,2024-10-12,CUST000676,MAT00039,SO0029,37.72,725.52,16.65,708.87
SALE0000000038,2,DEL000000038,2024-10-12,CUST000676,MAT00013,SO0029,23.3,347.42,16.3,331.12
SALE0000000038,3,DEL000000038,2024-10-12,CUST000676,MAT00011,SO0029,3.8,73.91,1.29,72.62
SALE0000000038,4,DEL000000038,2024-10-12,CUST000676,MAT00014,SO0029,23.16,523.22,32.18,491.04
SALE0000000039,1,DEL000000039,2024-11-26,CUST000275,MAT00018,SO0048,93.71,2394.59,52.51,2342.08
SALE0000000040,1,DEL000000040,2025-03-14,CUST000841,MAT00030,SO0044,27.17,628.06,35.98,592.08
SALE0000000040,2,DEL000000040,2025-03-14,CUST000841,MAT00036,SO0044,28.81,735.99,42.79,693.2
SALE0000000041,1,DEL000000041,2025-09-20,CUST001617,MAT00017,SO0048,14.29,207.67,9.57,198.1
SALE0000000041,2,DEL000000041,2025-09-20,CUST001617,MAT00008,SO0048,1.85,33.23,2.58,30.65
SALE0000000041,3,DEL000000041,2025-09-20,CUST001617,MAT00010,SO0048,51.98,809.4,6.04,803.36
SALE0000000041,4,DEL000000041,2025-09-20,CUST001617,MAT00028,SO0048,30.26,484.61,37.07,447.54
SALE0000000042,1,DEL000000042,2026-04-26,CUST000658,MAT00009,SO0041,15.24,380.82,13.72,367.1
SALE0000000042,2,DEL000000042,2026-04-26,CUST000658,MAT00015,SO0041,5.82,135.35,7.04,128.31
SALE0000000042,3,DEL000000042,2026-04-26,CUST000658,MAT00019,SO0041,8.42,124.7,1.54,123.16
SALE0000000042,4,DEL000000042,2026-04-26,CUST000658,MAT00007,SO0041,11.53,246.74,3.12,243.62
SALE0000000043,1,DEL000000043,2026-02-25,CUST000298,MAT00003,SO0043,95.31,1942.62,151.41,1791.21
SALE0000000044,1,DEL000000044,2026-07-11,CUST000170,MAT00016,SO0021,10.32,179.99,9.92,170.07
SALE0000000044,2,DEL000000044,2026-07-11,CUST000170,MAT00023,SO0021,39.19,1109.07,86.8,1022.27
SALE0000000045,1,DEL000000045,2025-03-16,CUST002386,MAT00026,SO0026,30.17,445.72,16.07,429.65
SALE0000000045,2,DEL000000045,2025-03-16,CUST002386,MAT00019,SO0026,51.35,872.4,34.61,837.79
SALE0000000046,1,DEL000000046,2024-07-09,CUST001977,MAT00015,SO0038,8.34,161.11,6.31,154.8
SALE0000000046,2,DEL000000046,2024-07-09,CUST001977,MAT00011,SO0038,47.88,1268.78,39.32,1229.46
SALE0000000046,3,DEL000000046,2024-07-09,CUST001977,MAT00034,SO0038,18.86,389.47,30.08,359.39
SALE0000000047,1,DEL000000047,2024-02-01,CUST000306,MAT00022,SO0016,48.02,809.52,62.32,747.2
SALE0000000047,2,DEL000000047,2024-02-01,CUST000306,MAT00020,SO0016,86.11,2373.73,71.99,2301.74
SALE0000000048,1,DEL000000048,2025-03-02,CUST000064,MAT00036,SO0041,74.63,1880.9,59.73,1821.17
SALE0000000049,1,DEL000000049,2025-03-30,CUST001491,MAT00003,SO0045,40.3,748.93,43.0,705.93
SALE0000000049,2,DEL000000049,2025-03-30,CUST001491,MAT00037,SO0045,38.78,867.21,29.47,837.74
SALE0000000050,1,DEL000000050,2025-11-01,CUST000710,MAT00022,SO0015,18.84,264.37,5.7,258.67
SALE0000000050,2,DEL000000050,2025-11-01,CUST000710,MAT00035,SO0015,9.94,261.9,9.7,252.2
SALE0000000050,3,DEL000000050,2025-11-01,CUST000710,MAT00015,SO0015,19.42,403.04,29.4,373.64
SALE0000000050,4,DEL000000050,2025-11-01,CUST000710,MAT00018,SO0015,0.23,6.07,0.39,5.68
SALE0000000051,1,DEL000000051,2024-07-21,CUST001974,MAT00027,SO0002,48.23,1330.58,50.89,1279.69
SALE0000000051,2,DEL000000051,2024-07-21,CUST001974,MAT00031,SO0002,14.71,296.81,18.94,277.87
SALE0000000051,3,DEL000000051,2024-07-21,CUST001974,MAT00014,SO0002,9.63,194.91,3.15,191.76
SALE0000000051,4,DEL000000051,2024-07-21,CUST001974,MAT00004,SO0002,32.85,709.23,55.3,653.93
SALE0000000052,1,DEL000000052,2025-03-19,CUST000146,MAT00029,SO0017,56.0,1109.0,39.15,1069.85
SALE0000000052,2,DEL000000052,2025-03-19,CUST000146,MAT00021,SO0017,60.83,1491.98,42.46,1449.52
SALE0000000052,3,DEL000000052,2025-03-19,CUST000146,MAT00014,SO0017,3.35,90.69,6.77,83.92
SALE0000000052,4,DEL000000052,2025-03-19,CUST000146,MAT00036,SO0017,5.39,107.86,6.66,101.2
SALE0000000053,1,DEL000000053,2025-07-01,CUST001676,MAT00038,SO0035,30.95,689.37,9.06,680.31
SALE0000000053,2,DEL000000053,2025-07-01,CUST001676,MAT00022,SO0035,32.01,795.45,29.4,766.05
SALE0000000054,1,DEL000000054,2026-03-19,CUST002002,MAT00009,SO0021,156.57,3698.67,104.19,3594.48
SALE0000000054,2,DEL000000054,2026-03-19,CUST002002,MAT00022,SO0021,0.36,5.94,0.13,5.81
SALE0000000055,1,DEL000000055,2024-08-25,CUST001325,MAT00004,SO0005,103.86,2192.39,15.48,2176.91
SALE0000000055,2,DEL000000055,2024-08-25,CUST001325,MAT00036,SO0005,35.49,949.29,13.67,935.62
SALE0000000055,3,DEL000000055,2024-08-25,CUST001325,MAT00006,SO0005,20.24,565.04,18.25,546.79
SALE0000000056,1,DEL000000056,2026-06-16,CUST002067,MAT00030,SO0017,26.98,706.45,48.38,658.07
SALE0000000056,2,DEL000000056,2026-06-16,CUST002067,MAT00033,SO0017,95.46,1918.84,77.13,1841.71
SALE0000000056,3,DEL000000056,2026-06-16,CUST002067,MAT00008,SO0017,5.58,90.55,2.45,88.1
SALE0000000057,1,DEL000000057,2024-07-23,CUST001696,MAT00011,SO0041,27.43,752.98,31.68,721.3
SALE0000000057,2,DEL000000057,2024-07-23,CUST001696,MAT00038,SO0041,18.96,405.76,12.57,393.19
SALE0000000057,3,DEL000000057,2024-07-23,CUST001696,MAT00030,SO0041,5.64,92.15,0.23,91.92
SALE0000000058,1,DEL000000058,2025-08-07,CUST001099,MAT00032,SO0040,102.0,1995.96,17.69,1978.27
SALE0000000059,1,DEL000000059,2026-01-20,CUST001199,MAT00016,SO0043,20.41,294.75,9.54,285.21
SALE0000000059,2,DEL000000059,2026-01-20,CUST001199,MAT00037,SO0043,13.98,234.64,1.19,233.45
SALE0000000059,3,DEL000000059,2026-01-20,CUST001199,MAT00006,SO0043,25.85,525.61,23.31,502.3
SALE0000000060,1,DEL000000060,2026-06-16,CUST000267,MAT00002,SO0036,11.14,187.29,1.69,185.6
SALE0000000060,2,DEL000000060,2026-06-16,CUST000267,MAT00024,SO0036,6.45,132.63,6.75,125.88
SALE0000000060,3,DEL000000060,2026-06-16,CUST000267,MAT00014,SO0036,34.59,583.63,0.22,583.41
SALE0000000060,4,DEL000000060,2026-06-16,CUST000267,MAT00015,SO0036,12.29,246.89,0.54,246.35
SALE0000000061,1,DEL000000061,2025-01-17,CUST001025,MAT00027,SO0042,3.62,87.15,6.64,80.51
SALE0000000061,2,DEL000000061,2025-01-17,CUST001025,MAT00035,SO0042,22.96,552.08,26.93,525.15
SALE0000000061,3,DEL000000061,2025-01-17,CUST001025,MAT00008,SO0042,83.81,2229.21,166.31,2062.9
SALE0000000062,1,DEL000000062,2025-09-21,CUST000439,MAT00019,SO0003,42.57,1156.37,47.93,1108.44
SALE0000000063,1,DEL000000063,2025-01-04,CUST001911,MAT00029,SO0007,54.24,1296.93,56.51,1240.42
SALE0000000064,1,DEL000000064,2025-08-29,CUST001864,MAT00013,SO0037,20.59,502.29,19.55,482.74
SALE0000000064,2,DEL000000064,2025-08-29,CUST001864,MAT00014,SO0037,8.1,161.21,8.92,152.29
SALE0000000064,3,DEL000000064,2025-08-29,CUST001864,MAT00010,SO0037,14.39,315.23,12.54,302.69
SALE0000000065,1,DEL000000065,2024-06-23,CUST001232,MAT00007,SO0004,15.39,360.24,24.17,336.07
SALE0000000065,2,DEL000000065,2024-06-23,CUST001232,MAT00009,SO0004,4.97,97.88,0.2,97.68
SALE0000000065,3,DEL000000065,2024-06-23,CUST001232,MAT00022,SO0004,43.87,652.13,22.31,629.82
SALE0000000066,1,DEL000000066,2026-07-24,CUST001819,MAT00034,SO0014,20.54,539.72,37.53,502.19
SALE0000000066,2,DEL000000066,2026-07-24,CUST001819,MAT00001,SO0014,37.01,786.48,35.68,750.8
SALE0000000066,3,DEL000000066,2026-07-24,CUST001819,MAT00028,SO0014,9.78,186.63,7.87,178.76
SALE0000000066,4,DEL000000066,2026-07-24,CUST001819,MAT00035,SO0014,9.39,227.09,14.69,212.4
SALE0000000067,1,DEL000000067,2025-12-11,CUST001414,MAT00032,SO0024,0.91,20.73,0.69,20.04
SALE0000000067,2,DEL000000067,2025-12-11,CUST001414,MAT00027,SO0024,47.22,954.18,29.49,924.69
SALE0000000067,3,DEL000000067,2025-12-11,CUST001414,MAT00036,SO0024,7.47,213.67,9.9,203.77
SALE0000000068,1,DEL000000068,2024-08-01,CUST000819,MAT00010,SO0040,24.15,615.43,35.13,580.3
SALE0000000068,2,DEL000000068,2024-08-01,CUST000819,MAT00022,SO0040,9.69,221.28,5.76,215.52
SALE0000000068,3,DEL000000068,2024-08-01,CUST000819,MAT00011,SO0040,12.54,318.52,21.14,297.38
SALE0000000068,4,DEL000000068,2024-08-01,CUST000819,MAT00027,SO0040,4.82,91.69,4.2,87.49
SALE0000000069,1,DEL000000069,2025-05-02,CUST000451,MAT00035,SO0005,42.97,841.96,37.72,804.24
SALE0000000069,2,DEL000000069,2025-05-02,CUST000451,MAT00002,SO0005,60.18,860.62,40.64,819.98
SALE0000000070,1,DEL000000070,2025-09-20,CUST001335,MAT00003,SO0035,197.03,5221.38,223.92,4997.46
SALE0000000071,1,DEL000000071,2026-02-11,CUST001851,MAT00012,SO0037,17.88,503.61,39.6,464.01
SALE0000000071,2,DEL000000071,2026-02-11,CUST001851,MAT00030,SO0037,30.67,534.05,13.8,520.25
SALE0000000071,3,DEL000000071,2026-02-11,CUST001851,MAT00023,SO0037,12.53,295.73,12.14,283.59
SALE0000000072,1,DEL000000072,2026-05-05,CUST001750,MAT00006,SO0041,10.48,206.93,15.52,191.41
SALE0000000072,2,DEL000000072,2026-05-05,CUST001750,MAT00012,SO0041,43.61,1009.15,16.8,992.35
SALE0000000073,1,DEL000000074,2026-07-07,CUST001820,MAT00019,SO0035,24.37,502.42,8.69,493.73
SALE0000000073,2,DEL000000074,2026-07-07,CUST001820,MAT00002,SO0035,3.77,88.53,2.1,86.43
SALE0000000073,3,DEL000000074,2026-07-07,CUST001820,MAT00020,SO0035,12.92,297.62,19.98,277.64
SALE0000000074,1,DEL000000075,2025-10-28,CUST000746,MAT00031,SO0036,29.53,595.27,24.91,570.36
SALE0000000074,2,DEL000000075,2025-10-28,CUST000746,MAT00019,SO0036,20.85,424.3,14.7,409.6
SALE0000000075,1,DEL000000076,2025-07-30,CUST001112,MAT00018,SO0047,23.44,546.62,32.82,513.8
SALE0000000075,2,DEL000000076,2025-07-30,CUST001112,MAT00034,SO0047,25.11,659.52,38.85,620.67
SALE0000000075,3,DEL000000076,2025-07-30,CUST001112,MAT00036,SO0047,1.15,16.27,0.45,15.82
SALE0000000076,1,DEL000000077,2025-12-23,CUST002430,MAT00032,SO0036,70.14,1664.34,117.24,1547.1
SALE0000000077,1,DEL000000078,2025-06-13,CUST000943,MAT00022,SO0029,27.77,505.87,16.35,489.52
SALE0000000078,1,DEL000000079,2026-07-03,CUST000066,MAT00021,SO0039,45.43,984.72,37.8,946.92
SALE0000000078,2,DEL000000079,2026-07-03,CUST000066,MAT00032,SO0039,27.69,723.48,47.05,676.43
SALE0000000078,3,DEL000000079,2026-07-03,CUST000066,MAT00019,SO0039,34.2,527.76,30.63,497.13
SALE0000000079,1,DEL000000080,2026-03-20,CUST000894,MAT00036,SO0020,9.14,176.5,4.3,172.2
SALE0000000079,2,DEL000000080,2026-03-20,CUST000894,MAT00027,SO0020,57.24,1597.1,94.4,1502.7
SALE0000000079,3,DEL000000080,2026-03-20,CUST000894,MAT00039,SO0020,17.06,321.75,12.48,309.27
SALE0000000079,4,DEL000000080,2026-03-20,CUST000894,MAT00030,SO0020,1.05,27.71,0.64,27.07
SALE0000000080,1,DEL000000081,2024-09-03,CUST002321,MAT00010,SO0045,234.38,6725.6,197.03,6528.57
SALE0000000081,1,DEL000000082,2026-04-18,CUST001322,MAT00007,SO0003,12.33,306.28,9.42,296.86
SALE0000000081,2,DEL000000082,2026-04-18,CUST001322,MAT00039,SO0003,0.9,24.54,1.15,23.39
SALE0000000081,3,DEL000000082,2026-04-18,CUST001322,MAT00030,SO0003,12.12,193.87,9.81,184.06
SALE0000000081,4,DEL000000082,2026-04-18,CUST001322,MAT00013,SO0003,8.56,140.5,8.85,131.65
SALE0000000082,1,DEL000000083,2024-07-07,CUST001386,MAT00028,SO0017,5.08,72.37,3.86,68.51
SALE0000000082,2,DEL000000083,2024-07-07,CUST001386,MAT00030,SO0017,6.39,112.59,5.59,107.0
SALE0000000082,3,DEL000000083,2024-07-07,CUST001386,MAT00017,SO0017,8.31,215.87,6.95,208.92
SALE0000000083,1,DEL000000084,2025-08-02,CUST000463,MAT00030,SO0020,12.6,270.76,1.21,269.55
SALE0000000083,2,DEL000000084,2025-08-02,CUST000463,MAT00024,SO0020,2.11,36.56,1.58,34.98
SALE0000000083,3,DEL000000084,2025-08-02,CUST000463,MAT00032,SO0020,38.81,960.68,29.38,931.3
SALE0000000083,4,DEL000000084,2025-08-02,CUST000463,MAT00038,SO0020,27.36,647.91,37.17,610.74
SALE0000000084,1,DEL000000085,2024-01-31,CUST001112,MAT00017,SO0047,34.35,711.5,55.49,656.01
SALE0000000084,2,DEL000000085,2024-01-31,CUST001112,MAT00002,SO0047,9.74,221.59,8.21,213.38
SALE0000000084,3,DEL000000085,2024-01-31,CUST001112,MAT00014,SO0047,6.95,124.77,4.07,120.7
SALE0000000085,1,DEL000000086,2025-10-12,CUST001760,MAT00026,SO0045,43.86,631.39,2.09,629.3
SALE0000000085,2,DEL000000086,2025-10-12,CUST001760,MAT00032,SO0045,35.67,607.43,7.41,600.02
SALE0000000086,1,DEL000000087,2026-04-23,CUST002151,MAT00004,SO0047,64.75,1530.26,85.81,1444.45
SALE0000000087,1,DEL000000089,2025-11-05,CUST001931,MAT00015,SO0048,132.6,2299.49,19.41,2280.08
SALE0000000088,1,DEL000000090,2026-03-04,CUST001612,MAT00034,SO0020,126.92,2638.1,96.57,2541.53
SALE0000000089,1,DEL000000092,2025-06-23,CUST002035,MAT00021,SO0029,71.81,1527.47,89.52,1437.95
SALE0000000089,2,DEL000000092,2025-06-23,CUST002035,MAT00038,SO0029,0.54,14.65,0.0,14.65
SALE0000000090,1,DEL000000093,2024-09-01,CUST002318,MAT00013,SO0019,65.14,1744.42,97.4,1647.02
SALE0000000090,2,DEL000000093,2024-09-01,CUST002318,MAT00034,SO0019,12.01,257.43,5.31,252.12
SALE0000000091,1,DEL000000094,2025-11-04,CUST000348,MAT00012,SO0022,25.58,538.69,9.55,529.14
SALE0000000091,2,DEL000000094,2025-11-04,CUST000348,MAT00035,SO0022,23.94,674.78,36.92,637.86
SALE0000000091,3,DEL000000094,2025-11-04,CUST000348,MAT00009,SO0022,11.01,230.67,7.95,222.72
SALE0000000092,1,DEL000000095,2026-02-08,CUST000241,MAT00003,SO0017,111.88,1880.47,77.29,1803.18
SALE0000000093,1,DEL000000096,2024-12-07,CUST001313,MAT00035,SO0009,64.68,1113.24,61.06,1052.18
SALE0000000093,2,DEL000000096,2024-12-07,CUST001313,MAT00036,SO0009,33.25,894.27,42.06,852.21
SALE0000000093,3,DEL000000096,2024-12-07,CUST001313,MAT00030,SO0009,8.5,241.93,15.52,226.41
SALE0000000093,4,DEL000000096,2024-12-07,CUST001313,MAT00018,SO0009,40.79,1027.97,50.28,977.69
SALE0000000094,1,DEL000000097,2025-10-22,CUST001668,MAT00035,SO0042,32.54,896.2,36.52,859.68
SALE0000000095,1,DEL000000098,2024-11-01,CUST000546,MAT00005,SO0005,49.52,1102.71,67.42,1035.29
SALE0000000096,1,DEL000000099,2025-01-28,CUST002311,MAT00039,SO0008,8.51,236.88,2.14,234.74
SALE0000000096,2,DEL000000099,2025-01-28,CUST002311,MAT00006,SO0008,16.93,423.11,28.37,394.74
SALE0000000096,3,DEL000000099,2025-01-28,CUST002311,MAT00034,SO0008,1.35,20.65,1.24,19.41
SALE0000000096,4,DEL000000099,2025-01-28,CUST002311,MAT00030,SO0008,96.05,1898.33,142.75,1755.58
SALE0000000097,1,DEL000000100,2024-12-31,CUST000757,MAT00005,SO0023,37.46,529.3,12.88,516.42
SALE0000000098,1,DEL000000101,2024-05-26,CUST000752,MAT00003,SO0020,12.37,197.63,6.6,191.03
SALE0000000098,2,DEL000000101,2024-05-26,CUST000752,MAT00010,SO0020,17.48,258.25,8.26,249.99
SALE0000000098,3,DEL000000101,2024-05-26,CUST000752,MAT00021,SO0020,10.91,262.32,9.42,252.9
SALE0000000099,1,DEL000000102,2025-09-21,CUST000104,MAT00007,SO0029,13.33,219.39,2.26,217.13
SALE0000000099,2,DEL000000102,2025-09-21,CUST000104,MAT00016,SO0029,5.25,76.55,4.37,72.18
SALE0000000099,3,DEL000000102,2025-09-21,CUST000104,MAT00002,SO0029,21.34,556.98,0.89,556.09
SALE0000000099,4,DEL000000102,2025-09-21,CUST000104,MAT00021,SO0029,24.26,513.67,35.8,477.87
